gene_name	gamma2	GAP kcat / GEF kcat	GAP_kcat	GAP_kcat_Km	GAP_Km	GAP/GEF efficiency	GEF_kcat	GEF_kcat_Km	GEF_Km
EMC1	-0.13259870882635916	-0.02766798418972332	0.09090909090909091	-0.06719367588932806	0.14624505928853754	-0.1541501976284585	-0.023762422826087874	0.05138339920948617	0.07128726847826362
EMC2	-0.022099784804393195	0.1541501976284585	0.4150197628458498	0.09881422924901186	0.05928853754940711	0.02766798418972332	-0.06336646086956767	0.09090909090909091	-0.015841615217391917
EMC3	-0.11049892402196597	0.17786561264822134	0.233201581027668	0.011857707509881422	0.14624505928853754	-0.1383399209486166	-0.1504953445652232	0.19367588932806323	-0.0950496913043515
EMC5	-0.3314967720658979	-0.1774891774891775	-0.1341991341991342	-0.11688311688311688	0.08225108225108226	0.10822510822510822	0.13015215002823988	-0.2813852813852814	0.1908898200414185
EMI1	0.022099784804393195	-0.05928853754940711	-0.14624505928853754	-0.06719367588932806	0.003952569169960474	0.019762845849802372	-0.04752484565217575	-0.043478260869565216	0.015841615217391917
EMP70	0.3535965568702911	0.019762845849802372	0.043478260869565216	-0.14624505928853754	0.17786561264822134	-0.1383399209486166	-0.031683230434783834	0.13043478260869565	-0.04752484565217575
ENT3	-0.22099784804393194	-0.02766798418972332	-0.16205533596837945	-0.22529644268774704	0.13043478260869565	-0.07509881422924901	-0.07920807608695958	0.019762845849802372	-0.055445653260871704
ENT4	0.24309763284832514	-0.08300395256916997	0.14624505928853754	0.13043478260869565	-0.11462450592885376	0.2015810276679842	0.22178261304348681	-0.2727272727272727	0.21386180543479086
ENT5	-0.24309763284832514	-0.09090909090909091	-0.13043478260869565	-0.05138339920948617	-0.043478260869565216	0.14624505928853754	-0.023762422826087874	-0.233201581027668	0.04752484565217575
ENV11	0.5082950505010434	-0.16205533596837945	-0.011857707509881422	0.24110671936758893	-0.2885375494071146	0.31225296442687744	0.37227795760871	-0.14624505928853754	0.2613866510869666
EPL1	-0.04419956960878639	0.2885375494071146	0.2490118577075099	0.09090909090909091	-0.011857707509881422	-0.1857707509881423	-0.17425776739131107	0.2885375494071146	-0.3247531119565343
ERD1	0.11049892402196597	-0.1225296442687747	-0.08300395256916997	0.35968379446640314	-0.35968379446640314	0.2727272727272727	0.24554503586957468	-0.09090909090909091	0.12673292173913533
ERG2	0.08839913921757278	-0.233201581027668	0.1383399209486166	-0.003952569169960474	0.019762845849802372	0.14624505928853754	0.3564363423913181	-0.21739130434782608	0.2851490739130545
ERG3	-0.19889806323953874	-0.09956709956709957	-0.1774891774891775	-0.36796536796536794	0.36796536796536794	-0.3852813852813853	-0.06073767001317861	0.24675324675324675	-0.017353620003765318
ERG5	-0.08839913921757278	-0.043478260869565216	-0.4150197628458498	-0.2885375494071146	0.13043478260869565	-0.1225296442687747	-0.15841615217391916	-0.05928853754940711	0.007920807608695958
ERG6	-0.022099784804393195	-0.2490118577075099	-0.22529644268774704	-0.3201581027667984	0.20948616600790515	0.019762845849802372	0.17425776739131107	-0.233201581027668	0.29306988152175045
ERJ5	-0.04419956960878639	0.05928853754940711	-0.2964426877470356	-0.40711462450592883	0.40711462450592883	-0.4308300395256917	-0.24554503586957468	0.16996047430830039	-0.055445653260871704
ERP2	-0.13259870882635916	-0.07509881422924901	-0.25691699604743085	-0.11462450592885376	0.03557312252964427	-0.07509881422924901	-0.06336646086956767	0.003952569169960474	0.03960403804347979
ERP4	-0.13259870882635916	0.1383399209486166	0.25691699604743085	0.003952569169960474	0.1541501976284585	-0.13043478260869565	-0.11089130652174341	0.16996047430830039	-0.04752484565217575
ERV14	-0.13259870882635916	-0.05138339920948617	-0.233201581027668	-0.233201581027668	0.09090909090909091	0.02766798418972332	-0.11881211413043936	-0.22529644268774704	0.07128726847826362
ERV25	-0.08839913921757278	-0.019762845849802372	-0.16996047430830039	-0.05928853754940711	0.043478260869565216	-0.11462450592885376	-0.1346537293478313	-0.003952569169960474	-0.055445653260871704
ERV29	-0.022099784804393195	-0.16205533596837945	0.03557312252964427	0.16205533596837945	-0.20948616600790515	0.28063241106719367	0.18217857500000703	-0.22529644268774704	0.15841615217391916
ERV41	-0.15469849363075236	0.11462450592885376	-0.19367588932806323	-0.20948616600790515	0.19367588932806323	-0.32806324110671936	-0.2851490739130545	0.22529644268774704	-0.24554503586957468
ERV46	0.06629935441317958	0.25691699604743085	0.21739130434782608	-0.06719367588932806	0.19367588932806323	-0.2648221343873518	-0.16633695978261512	0.20948616600790515	-0.11881211413043936
ESA1	0.15469849363075236	0.06719367588932806	0.31225296442687744	0.233201581027668	-0.1225296442687747	0.003952569169960474	0.08712888369565554	0.08300395256916997	-0.015841615217391917
ESC1	0.13259870882635916	0.003952569169960474	-0.22529644268774704	-0.20948616600790515	0.11462450592885376	0.05138339920948617	-0.07920807608695958	-0.233201581027668	0.1346537293478313
ESC2	0.08839913921757278	-0.02766798418972332	0.011857707509881422	-0.019762845849802372	-0.011857707509881422	0.14624505928853754	0.04752484565217575	-0.07509881422924901	0.03960403804347979
ESC8	0.08839913921757278	-0.07509881422924901	-0.20948616600790515	-0.3675889328063241	0.24110671936758893	-0.011857707509881422	-0.07920807608695958	-0.233201581027668	0.07920807608695958
ESL2	-0.06629935441317958	-0.05928853754940711	0.21739130434782608	0.28063241106719367	-0.2490118577075099	0.383399209486166	0.2613866510869666	-0.233201581027668	0.16633695978261512
ESS1	0.19889806323953874	-0.16205533596837945	0.19367588932806323	0.05138339920948617	-0.03557312252964427	0.1383399209486166	0.23762422826087873	-0.20948616600790515	0.15841615217391916
EXO1	-0.36623351038235724	-0.16190476190476194	-0.028571428571428574	-0.20000000000000004	0.23809523809523814	-0.14285714285714288	0.11483385035264293	0.16190476190476194	-0.12380952380952383
FAB1	-0.13259870882635916	-0.05928853754940711	-0.24110671936758893	-0.22529644268774704	0.11462450592885376	0.003952569169960474	-0.1504953445652232	-0.1383399209486166	0.07128726847826362
FAR1	0.3511552695176641	0.25146198830409355	0.27485380116959063	0.14619883040935672	-0.04093567251461988	0.12280701754385964	-0.07038153430777869	-0.005847953216374269	-0.14076306861555737
FAR3	-0.2651974176527183	-0.05928853754940711	-0.13043478260869565	-0.06719367588932806	-0.011857707509881422	0.05138339920948617	0.04752484565217575	-0.1225296442687747	0.007920807608695958
FAR8	-0.04419956960878639	-0.07509881422924901	0.011857707509881422	0.2015810276679842	-0.28063241106719367	0.30434782608695654	0.11089130652174341	-0.32806324110671936	0.07128726847826362
FAT1	0.08839913921757278	-0.3359683794466403	0.05138339920948617	0.2727272727272727	-0.2727272727272727	0.37549407114624506	0.40396118804349385	-0.17786561264822134	0.27722826630435854
FCP1	0.06629935441317958	0.05138339920948617	-0.11462450592885376	-0.03557312252964427	0.003952569169960474	-0.09090909090909091	-0.2059409978260949	0.13043478260869565	-0.25346584347827067
FET3	-0.08839913921757278	0.22529644268774704	0.28063241106719367	-0.05138339920948617	0.17786561264822134	-0.2490118577075099	-0.18217857500000703	0.3359683794466403	-0.21386180543479086
FIG2	-0.11049892402196597	0.003952569169960474	-0.383399209486166	-0.19367588932806323	0.06719367588932806	-0.07509881422924901	-0.12673292173913533	-0.011857707509881422	-0.10297049891304745
FIG4	-0.3093969872615047	0.019762845849802372	-0.05138339920948617	-0.3201581027667984	0.35177865612648224	-0.42292490118577075	-0.2059409978260949	0.24110671936758893	-0.1346537293478313
