ORF	Gene	gene_set	set_label
YLL034C	RIX7	general nuclear export	curated_processes
YPL012W	RRP12	general nuclear export	curated_processes
YOR294W	RRS1	general nuclear export	curated_processes
YDR159W	SAC3	general nuclear export	curated_processes
YML034W	SRC1	general nuclear export	curated_processes
YDL084W	SUB2	general nuclear export	curated_processes
YBR111W-A	SUS1	general nuclear export	curated_processes
YOL072W	THP1	general nuclear export	curated_processes
YHR167W	THP2	general nuclear export	curated_processes
YGR090W	UTP22	general nuclear export	curated_processes
YDR381W	YRA1	general nuclear export	curated_processes
YDR002W	YRB1	general nuclear export	curated_processes
YIL063C	YRB2	general nuclear export	curated_processes
YER087W	AIM10	tRNA synthesase	curated_processes
YOR335C	ALA1	tRNA synthesase	curated_processes
YGL105W	ARC1	tRNA synthesase	curated_processes
YPL160W	CDC60	tRNA synthesase	curated_processes
YHR019C	DED81	tRNA synthesase	curated_processes
YHR011W	DIA4	tRNA synthesase	curated_processes
YLL018C	DPS1	tRNA synthesase	curated_processes
YLR060W	FRS1	tRNA synthesase	curated_processes
YFL022C	FRS2	tRNA synthesase	curated_processes
YOR168W	GLN4	tRNA synthesase	curated_processes
YPR081C	GRS2	tRNA synthesase	curated_processes
YGL245W	GUS1	tRNA synthesase	curated_processes
YPR033C	HTS1	tRNA synthesase	curated_processes
YBL076C	ILS1	tRNA synthesase	curated_processes
YPL040C	ISM1	tRNA synthesase	curated_processes
YDR037W	KRS1	tRNA synthesase	curated_processes
YGR264C	MES1	tRNA synthesase	curated_processes
YDR023W	SES1	tRNA synthesase	curated_processes
YIL078W	THS1	tRNA synthesase	curated_processes
YGR185C	TYS1	tRNA synthesase	curated_processes
YGR094W	VAS1	tRNA synthesase	curated_processes
YOL097C	WRS1	tRNA synthesase	curated_processes
YDR341C	YDR341C	tRNA synthesase	curated_processes
YHR020W	YHR020W	tRNA synthesase	curated_processes
YNL247W	YNL247W	tRNA synthesase	curated_processes
YOR239W	ABP140	tRNA methyltransferase	curated_processes
YNL062C	GCD10	tRNA methyltransferase	curated_processes
YJL125C	GCD14	tRNA methyltransferase	curated_processes
YIL090W	ICE2	tRNA methyltransferase	curated_processes
YBL024W	NCL1	tRNA methyltransferase	curated_processes
YOL141W	PPM2	tRNA methyltransferase	curated_processes
YDR120C	TRM1	tRNA methyltransferase	curated_processes
YOL093W	TRM10	tRNA methyltransferase	curated_processes
YOL124C	TRM11	tRNA methyltransferase	curated_processes
YNR046W	TRM112	tRNA methyltransferase	curated_processes
YML005W	TRM12	tRNA methyltransferase	curated_processes
YOL125W	TRM13	tRNA methyltransferase	curated_processes
YKR056W	TRM2	tRNA methyltransferase	curated_processes
YDL112W	TRM3	tRNA methyltransferase	curated_processes
YPL030W	TRM44	tRNA methyltransferase	curated_processes
YHR070W	TRM5	tRNA methyltransferase	curated_processes
YBR061C	TRM7	tRNA methyltransferase	curated_processes
YMR259C	TRM732	tRNA methyltransferase	curated_processes
YDL201W	TRM8	tRNA methyltransferase	curated_processes
YDR165W	TRM82	tRNA methyltransferase	curated_processes
YML014W	TRM9	tRNA methyltransferase	curated_processes
YGL050W	TYW3	tRNA methyltransferase	curated_processes
YAL020C	ATS1	tRNA base modification	curated_processes
YGR262C	BUD32	tRNA base modification	curated_processes
YML036W	CGI121	tRNA base modification	curated_processes
YFL001W	DEG1	tRNA base modification	curated_processes
YGR200C	ELP2	tRNA base modification	curated_processes
YPL086C	ELP3	tRNA base modification	curated_processes
YPL101W	ELP4	tRNA base modification	curated_processes
YMR312W	ELP6	tRNA base modification	curated_processes
YJL184W	GON7	tRNA base modification	curated_processes
YHR187W	IKI1	tRNA base modification	curated_processes
YLR384C	IKI3	tRNA base modification	curated_processes
YKR038C	KAE1	tRNA base modification	curated_processes
