library.ORF	score_min	score_max	score_range	library.gene_name
YGL195W	-3.833979	4.582222	8.416201	GCN1
YNL068C	-5.206983	3.206287	8.41327	FKH2
YDR127W	-6.351225	2.060901	8.412126	ARO1
YHR111W	-6.469864	1.901517	8.371381	UBA4
YMR312W	-5.224016	3.144692	8.368708	ELP6
YOL011W	-1.215802	7.141561	8.357363	PLB3
YLR024C	-3.946401	4.400134	8.346535	UBR2
YPL161C	-2.846793	5.497442	8.344235000000001	BEM4
YBR095C	-2.598712	5.744547	8.343259	RXT2
YNR006W	-6.142654	2.162215	8.304869	VPS27
YOL001W	-3.354371	4.949142	8.303513	PHO80
YJR082C	-6.894828	1.370023	8.264851	EAF6
YDR025W	-3.109747	5.132384	8.242131	RPS11A
YPL184C	-6.516469	1.722545	8.239014	MRN1
YBR164C	-6.633537	1.601949	8.235486	ARL1
YNL135C	-4.336277	3.898722	8.234999	FPR1
YFL033C	-4.659433	3.55195	8.211383	RIM15
YHR187W	-4.005585	4.205471	8.211056	IKI1
YHR200W	-6.908981	1.300654	8.209635	RPN10
YDR335W	-2.75744	5.415197	8.172637	MSN5
YGL058W	-4.917059	3.252373	8.169432	RAD6
YNL167C	-2.151312	6.006344	8.157656	SKO1
YPL024W	-6.519402	1.637952	8.157354	RMI1
YNL119W	-6.350849	1.803091	8.15394	NCS2
YLR089C	-3.271824	4.861572	8.133396	ALT1
YDR161W	-7.165349	0.952826	8.118175	YDR161W
YBR289W	-2.919058	5.196755	8.115813	SNF5
YMR060C	-5.482651	2.620227	8.102878	SAM37
YOR014W	-4.867682	3.226211	8.093893000000001	RTS1
YGL173C	-5.730075	2.361014	8.091089	XRN1
YDR146C	-7.193444	0.879508	8.072952	SWI5
YDR310C	-2.097924	5.958708	8.056632	SUM1
YGL216W	-6.039378	1.981518	8.020896	KIP3
YKR101W	-4.141561	3.869879	8.01144	SIR1
YPL239W	-3.840742	4.164583	8.005325000000001	YAR1
YKR095W	-5.876336	2.115001	7.991337	MLP1
YNL016W	-3.744675	4.246162	7.990837	PUB1
YNL037C	-3.227467	4.761663	7.98913	IDH1
YNL097C	-2.703406	5.275535	7.978941	PHO23
YGL084C	-3.5459	4.424353	7.970253	GUP1
YCR053W	-4.147683	3.815947	7.96363	THR4
YPR119W	-3.011779	4.942578	7.954357	CLB2
YNL229C	-4.264754	3.680674	7.945428	URE2
YBL007C	-3.080998	4.858606	7.939604	SLA1
YLR128W	-3.281766	4.647356	7.9291220000000004	DCN1
YPL086C	-4.85188	3.061723	7.913603	ELP3
YJL168C	-5.86519	2.007104	7.872294	SET2
YKL205W	-1.272474	6.598343	7.870817	LOS1
YMR055C	-6.249057	1.609395	7.858452	BUB2
YBR171W	-4.145677	3.711167	7.856844000000001	SEC66
YMR075W	-4.543311	3.3110560000000002	7.854367	RCO1
YDR363W	-1.991507	5.86054	7.852047000000001	ESC2
YER048C	-3.116721	4.72021	7.836931	CAJ1
YER052C	-6.068394	1.738623	7.807017	HOM3
YLR410W	-1.635944	6.168812	7.804756	VIP1
YBR126C	-4.158389	3.618835	7.7772239999999995	TPS1
YFL023W	-3.938296	3.835111	7.773407	BUD27
YGL212W	-5.619913	2.120253	7.740166	VAM7
YPL090C	-5.270834	2.45498	7.725814	RPS6A
YNL323W	-1.809337	5.904	7.713337	LEM3
YDL083C	-5.340991	2.36791	7.708901	RPS16B
YER002W	-2.769604	4.916757	7.686361	NOP16
YGR237C	-5.797505	1.86416	7.661665	YGR237C
YGL020C	-4.538842	3.102404	7.641246	GET1
YOR216C	-5.383775	2.239312	7.623087	RUD3
YHL020C	-4.024288	3.582328	7.606616000000001	OPI1
YOR191W	-5.424362	2.1471	7.571462	ULS1
YGR122W	-5.477085	2.081524	7.558609	YGR122W
YCR086W	-5.377445	2.166256	7.543701	CSM1
YOR061W	-5.663114	1.87825	7.541364	CKA2
YIL153W	-4.340355	3.173781	7.514136	RRD1
YEL053C	-4.242115	3.261803	7.5039180000000005	MAK10
