ORF	term
YLR319C	budding
YLR320W	budding
YLR324W	budding
YLR329W	budding
YLR330W	budding
YLR337C	budding
YLR337C	budding
YLR341W	budding
YLR342W	budding
YLR343W	budding
YLR353W	budding
YLR371W	budding
YLR381W	budding
YLR394W	budding
YLR414C	budding
YLR425W	budding
YLR445W	budding
YML032C	budding
YML034W	budding
YML047C	budding
YML052W	budding
YML064C	budding
YML066C	budding
YML072C	budding
YML074C	budding
YML085C	budding
YML095C	budding
YML109W	budding
YML124C	budding
YML128C	budding
YMR001C	budding
YMR001C	budding
YMR017W	budding
YMR032W	budding
YMR039C	budding
YMR048W	budding
YMR055C	budding
YMR063W	budding
YMR067C	budding
YMR076C	budding
YMR078C	budding
YMR079W	budding
YMR109W	budding
YMR109W	budding
YMR124W	budding
YMR133W	budding
YMR139W	budding
YMR153W	budding
YMR167W	budding
YMR168C	budding
YMR183C	budding
YMR190C	budding
YMR192W	budding
YMR198W	budding
YMR200W	budding
YMR224C	budding
YMR224C	budding
YMR238W	budding
YMR273C	budding
YMR295C	budding
YMR306W	budding
YMR308C	budding
YMR313C	budding
YNL012W	budding
YNL030W	budding
YNL031C	budding
YNL031C	budding
YNL078W	budding
YNL078W	budding
YNL079C	budding
YNL079C	budding
YNL082W	budding
YNL084C	budding
YNL084C	budding
YNL087W	budding
YNL088W	budding
YNL098C	budding
YNL116W	budding
YNL116W	budding
YNL126W	budding
YNL128W	budding
YNL152W	budding
YNL154C	budding
YNL161W	budding
YNL161W	budding
YNL164C	budding
YNL166C	budding
YNL172W	budding
YNL194C	budding
YNL196C	budding
YNL201C	budding
YNL202W	budding
YNL204C	budding
YNL210W	budding
YNL225C	budding
YNL231C	budding
YNL233W	budding
YNL243W	budding
YNL243W	budding
YNL250W	budding
YNL262W	budding
YNL271C	budding
YNL271C	budding
YNL272C	budding
YNL273W	budding
YNL283C	budding
YNL293W	budding
YNL294C	budding
YNL296W	budding
YNL298W	budding
YNL298W	budding
YNL304W	budding
YNL307C	budding
YNL307C	budding
YNL312W	budding
YNL327W	budding
YNL330C	budding
YNR031C	budding
YNR049C	budding
YNR049C	budding
YNR067C	budding
YOL006C	budding
YOL007C	budding
YOL047C	budding
YOL048C	budding
YOL070C	budding
YOL071W	budding
YOL090W	budding
YOL091W	budding
YOL091W	budding
YOL104C	budding
YOL112W	budding
YOL115W	budding
YOL132W	budding
YOL147C	budding
YOL158C	budding
YOR008C	budding
YOR014W	budding
YOR014W	budding
YOR026W	budding
YOR046C	budding
YOR058C	budding
YOR073W	budding
YOR093C	budding
YOR094W	budding
YOR104W	budding
YOR119C	budding
YOR127W	budding
YOR127W	budding
YOR129C	budding
YOR135C	budding
YOR144C	budding
YOR165W	budding
YOR177C	budding
YOR178C	budding
YOR188W	budding
YOR190W	budding
YOR195W	budding
YOR198C	budding
YOR208W	budding
YOR231W	budding
YOR233W	budding
YOR233W	budding
YOR237W	budding
YOR242C	budding
YOR247W	budding
YOR255W	budding
YOR262W	budding
YOR264W	budding
YOR275C	budding
YOR298W	budding
YOR301W	budding
YOR304C-A	budding
YOR313C	budding
YOR326W	budding
YOR326W	budding
YOR327C	budding
YOR338W	budding
YOR351C	budding
YOR353C	budding
YOR353C	budding
YOR354C	budding
YOR368W	budding
YOR373W	budding
YPL008W	budding
YPL017C	budding
YPL018W	budding
YPL022W	budding
YPL024W	budding
YPL027W	budding
YPL032C	budding
YPL066W	budding
YPL115C	budding
YPL116W	budding
YPL121C	budding
YPL130W	budding
YPL130W	budding
YPL138C	budding
YPL139C	budding
YPL140C	budding
YPL152W	budding
