ORF	cluster	gene_name
YJL099W	12	CHS6
YJL187C	12	SWE1
YJR118C	12	ILM1
YKL007W	12	CAP1
YKL079W	12	SMY1
YKL204W	12	EAP1
YKR042W	12	UTH1
YLL021W	12	SPA2
YLR110C	12	CCW12
YLR425W	12	TUS1
YML117W	12	NAB6
YMR109W	12	MYO5
YNL079C	12	TPM1
YNL106C	12	INP52
YNL233W	12	BNI4
YNL271C	12	BNI1
YNL298W	12	CLA4
YOL003C	12	PFA4
YOR035C	12	SHE4
YOR127W	12	RGA1
YPL115C	12	BEM3
YPR075C	12	OPY2
YAL027W	11	SAW1
YAL051W	11	OAF1
YBL101C	11	ECM21
YBR125C	11	PTC4
YBR270C	11	BIT2
YCL033C	11	MXR2
YCL036W	11	GFD2
YCL050C	11	APA1
YCL056C	11	PEX34
YCR019W	11	MAK32
YCR063W	11	BUD31
YCR067C	11	SED4
YDL048C	11	STP4
YDL089W	11	NUR1
YDL175C	11	AIR2
YDR125C	11	ECM18
YDR131C	11	YDR131C
YDR219C	11	MFB1
YDR266C	11	HEL2
YDR313C	11	PIB1
YDR466W	11	PKH3
YER088C	11	DOT6
YER129W	11	SAK1
YER144C	11	UBP5
YFR031C-A	11	RPL2A
YGR109C	11	CLB6
YGR237C	11	YGR237C
YHL023C	11	NPR3
YHR135C	11	YCK1
YHR158C	11	KEL1
YHR185C	11	PFS1
YJL098W	11	SAP185
YJR036C	11	HUL4
YJR119C	11	JHD2
YKL149C	11	DBR1
YKR055W	11	RHO4
YKR074W	11	AIM29
YLR096W	11	KIN2
YML035C	11	AMD1
YMR199W	11	CLN1
YMR255W	11	GFD1
YNL086W	11	SNN1
YNL128W	11	TEP1
YNL154C	11	YCK2
YNL253W	11	TEX1
YOR034C	11	AKR2
YOR047C	11	STD1
YOR113W	11	AZF1
YOR371C	11	GPB1
YPL184C	11	MRN1
YPR043W	11	RPL43A
YPR045C	11	THP3
YPR066W	11	UBA3
YPR119W	11	CLB2
YAL011W	10	SWC3
YBL008W	10	HIR1
YBR215W	10	HPC2
YBR231C	10	SWC5
YBR245C	10	ISW1
YBR278W	10	DPB3
YCR082W	10	AHC2
YDR049W	10	VMS1
YDR121W	10	DPB4
YDR163W	10	CWC15
YDR181C	10	SAS4
YDR315C	10	IPK1
YDR334W	10	SWR1
YDR385W	10	EFT2
YDR443C	10	SSN2
YDR482C	10	CWC21
YDR485C	10	VPS72
YEL056W	10	HAT2
YGL043W	10	DST1
YGL133W	10	ITC1
YGL151W	10	NUT1
YGR129W	10	SYF2
YGR181W	10	TIM13
YHR156C	10	LIN1
YHR157W	10	REC104
YIL149C	10	MLP2
YJL081C	10	ARP4
YJL168C	10	SET2
YJR084W	10	YJR084W
YJR140C	10	HIR3
YKL023W	10	YKL023W
YKR048C	10	NAP1
YKR095W	10	MLP1
YLR085C	10	ARP6
YLR095C	10	IOC2
YLR410W	10	VIP1
YML041C	10	VPS71
YML047C	10	PRM6
YMR075W	10	RCO1
YMR127C	10	SAS2
YNL025C	10	SSN8
YNL107W	10	YAF9
YNL199C	10	GCR2
YNR010W	10	CSE2
YOL012C	10	HTZ1
YOL054W	10	PSH1
YOR023C	10	AHC1
YOR038C	10	HIR2
YOR174W	10	MED4
YOR213C	10	SAS5
YOR266W	10	PNT1
YOR304W	10	ISW2
YPR023C	10	EAF3
YPR070W	10	MED1
YPR167C	10	MET16
YBL087C	9	RPL23A
YBR181C	9	RPS6B
YCR031C	9	RPS14A
YDL061C	9	RPS29B
YDL082W	9	RPL13A
YDL083C	9	RPS16B
YDL130W	9	RPP1B
YDL136W	9	RPL35B
YDL191W	9	RPL35A
YDL213C	9	NOP6
YDR083W	9	RRP8
YDR156W	9	RPA14
YDR382W	9	RPP2B
YDR496C	9	PUF6
YER002W	9	NOP16
YGL031C	9	RPL24A
YGL078C	9	DBP3
YGL147C	9	RPL9A
YGL213C	9	SKI8
YGR085C	9	RPL11B
YGR118W	9	RPS23A
YGR214W	9	RPS0A
YHL033C	9	RPL8A
YHR034C	9	PIH1
YHR066W	9	SSF1
YHR081W	9	LRP1
YHR203C	9	RPS4B
YIL079C	9	AIR1
YIL110W	9	HPM1
YIL133C	9	RPL16A
YJL148W	9	RPA34
YJL177W	9	RPL17B
YJR070C	9	LIA1
YKR092C	9	SRP40
YLL045C	9	RPL8B
YML063W	9	RPS1B
