ORF	Gene_uniq	cluster	gene_name
YNL233W	YNL233W	15	BNI4
YNL271C	YNL271C	15	BNI1
YNL291C	YNL291C	15	MID1
YNL298W	YNL298W	15	CLA4
YOL003C	YOL003C	15	PFA4
YOR035C	YOR035C	15	SHE4
YOR127W	YOR127W	15	RGA1
YPL089C	YPL089C	15	RLM1
YPL115C	YPL115C	15	BEM3
YPR075C	YPR075C	15	OPY2
YAL021C	YAL021C	14	CCR4
YBR073W	YBR073W	14	RDH54
YBR093C	YBR093C	14	PHO5
YBR114W	YBR114W	14	RAD16
YBR150C	YBR150C	14	TBS1
YBR162W-A	YBR162W-A	14	YSY6
YBR275C	YBR275C	14	RIF1
YCL014W	YCL014W	14	BUD3
YDL133C-A	YDL133C-A	14	RPL41B
YDL167C	YDL167C	14	NRP1
YDL170W	YDL170W	14	UGA3
YDL175C	YDL175C	14	AIR2
YDL188C	YDL188C	14	PPH22
YDR005C	YDR005C	14	MAF1
YDR120C	YDR120C	14	TRM1
YDR409W	YDR409W	14	SIZ1
YDR451C	YDR451C	14	YHP1
YER068W	YER068W	14	MOT2
YGL090W	YGL090W	14	LIF1
YGL197W	YGL197W	14	MDS3
YGL213C	YGL213C	14	SKI8
YGL232W	YGL232W	14	TAN1
YIL052C	YIL052C	14	RPL34B
YJL149W	YJL149W	14	DAS1
YJL208C	YJL208C	14	NUC1
YJR052W	YJR052W	14	RAD7
YKL023W	YKL023W	14	YKL023W
YKL121W	YKL121W	14	DGR2
YKL166C	YKL166C	14	TPK3
YKR098C	YKR098C	14	UBP11
YLL019C	YLL019C	14	KNS1
YLR180W	YLR180W	14	SAM1
YNL292W	YNL292W	14	PUS4
YOL064C	YOL064C	14	MET22
YOL093W	YOL093W	14	TRM10
YOR076C	YOR076C	14	SKI7
YOR243C	YOR243C	14	PUS7
YOR344C	YOR344C	14	TYE7
YPL183C	YPL183C	14	RTT10
YPL212C	YPL212C	14	PUS1
YPR189W	YPR189W	14	SKI3
YBR041W	YBR041W	13	FAT1
YBR270C	YBR270C	13	BIT2
YDL135C	YDL135C	13	RDI1
YDR074W	YDR074W	13	TPS2
YDR075W	YDR075W	13	PPH3
YDR096W	YDR096W	13	GIS1
YDR131C	YDR131C	13	YDR131C
YDR477W	YDR477W	13	SNF1
YDR505C	YDR505C	13	PSP1
YER032W	YER032W	13	FIR1
YER129W	YER129W	13	SAK1
YGL115W	YGL115W	13	SNF4
YGR174C	YGR174C	13	CBP4
YGR178C	YGR178C	13	PBP1
YHR006W	YHR006W	13	STP2
YHR114W	YHR114W	13	BZZ1
YHR135C	YHR135C	13	YCK1
YHR158C	YHR158C	13	KEL1
YIL119C	YIL119C	13	RPI1
YJL128C	YJL128C	13	PBS2
YJR059W	YJR059W	13	PTK2
YJR070C	YJR070C	13	LIA1
YLR006C	YLR006C	13	SSK1
YLR096W	YLR096W	13	KIN2
YLR113W	YLR113W	13	HOG1
YLR146C	YLR146C	13	SPE4
YLR452C	YLR452C	13	SST2
YLR454W	YLR454W	13	FMP27
YMR039C	YMR039C	13	SUB1
YMR065W	YMR065W	13	KAR5
YMR070W	YMR070W	13	MOT3
YMR186W	YMR186W	13	HSC82
YNL064C	YNL064C	13	YDJ1
YNL154C	YNL154C	13	YCK2
YNL201C	YNL201C	13	PSY2
YNL236W	YNL236W	13	SIN4
YNL307C	YNL307C	13	MCK1
YNR031C	YNR031C	13	SSK2
YOL081W	YOL081W	13	IRA2
YOR027W	YOR027W	13	STI1
YOR233W	YOR233W	13	KIN4
YOR298C-A	YOR298C-A	13	MBF1
YOR360C	YOR360C	13	PDE2
YPL106C	YPL106C	13	SSE1
YPR065W	YPR065W	13	ROX1
YAL011W	YAL011W	12	SWC3
YBR231C	YBR231C	12	SWC5
YBR245C	YBR245C	12	ISW1
YBR278W	YBR278W	12	DPB3
YCR020C-A	YCR020C-A	12	MAK31
YCR082W	YCR082W	12	AHC2
YDL002C	YDL002C	12	NHP10
YDL070W	YDL070W	12	BDF2
YDR099W	YDR099W	12	BMH2
YDR121W	YDR121W	12	DPB4
YDR181C	YDR181C	12	SAS4
YDR334W	YDR334W	12	SWR1
YDR385W	YDR385W	12	EFT2
YDR443C	YDR443C	12	SSN2
YDR485C	YDR485C	12	VPS72
YEL056W	YEL056W	12	HAT2
YER092W	YER092W	12	IES5
YER177W	YER177W	12	BMH1
YFL013C	YFL013C	12	IES1
YFR048W	YFR048W	12	RMD8
YGL016W	YGL016W	12	KAP122
YGL043W	YGL043W	12	DST1
YGL151W	YGL151W	12	NUT1
YGR181W	YGR181W	12	TIM13
YGR270W	YGR270W	12	YTA7
YJL090C	YJL090C_DAmP	12	DPB11
YJL168C	YJL168C	12	SET2
YJR082C	YJR082C	12	EAF6
YKL025C	YKL025C	12	PAN3
YKL032C	YKL032C	12	IXR1
YLR085C	YLR085C	12	ARP6
YLR095C	YLR095C	12	IOC2
YML041C	YML041C	12	VPS71
YML047C	YML047C	12	PRM6
YMR075W	YMR075W	12	RCO1
YMR127C	YMR127C	12	SAS2
YNL107W	YNL107W	12	YAF9
YNL215W	YNL215W	12	IES2
YNL270C	YNL270C	12	ALP1
YNR010W	YNR010W	12	CSE2
YOL012C	YOL012C	12	HTZ1
YOL054W	YOL054W	12	PSH1
YOR023C	YOR023C	12	AHC1
YOR213C	YOR213C	12	SAS5
YOR264W	YOR264W	12	DSE3
