ORF	cluster	gene_name
YGR122W	11	YGR122W
YGR184C	11	UBR1
YHL003C	11	LAG1
YHL027W	11	RIM101
YHR189W	11	PTH1
YIL134W	11	FLX1
YJL117W	11	PHO86
YJL157C	11	FAR1
YKL068W	11	NUP100
YKR048C	11	NAP1
YLR018C	11	POM34
YLR056W	11	ERG3
YLR114C	11	AVL9
YML111W	11	BUL2
YMR022W	11	UBC7
YMR052W	11	FAR3
YMR068W	11	AVO2
YMR129W	11	POM152
YMR153W	11	NUP53
YMR154C	11	RIM13
YMR264W	11	CUE1
YMR275C	11	BUL1
YMR277W	11	FCP1
YMR282C	11	AEP2
YNL218W	11	MGS1
YNL294C	11	RIM21
YNL315C	11	ATP11
YNR020C	11	ATP23
YNR041C	11	COQ2
YOR008C	11	SLG1
YOR030W	11	DFG16
YOR043W	11	WHI2
YOR065W	11	CYT1
YOR076C	11	SKI7
YOR275C	11	RIM20
YPL079W	11	RPL21B
YPL090C	11	RPS6A
YPL152W	11	RRD2
YPL172C	11	COX10
YPR189W	11	SKI3
YAL019W	10	FUN30
YBL051C	10	PIN4
YBL101C	10	ECM21
YBR061C	10	TRM7
YBR093C	10	PHO5
YBR125C	10	PTC4
YBR160W	10	CDC28
YCL008C	10	STP22
YDL083C	10	RPS16B
YDL126C	10	CDC48
YDL135C	10	RDI1
YDL155W	10	CLB3
YDL175C	10	AIR2
YDL191W	10	RPL35A
YDL230W	10	PTP1
YDL232W	10	OST4
YDR009W	10	GAL3
YDR057W	10	YOS9
YDR122W	10	KIN1
YDR173C	10	ARG82
YDR420W	10	HKR1
YDR422C	10	SIP1
YDR490C	10	PKH1
YEL012W	10	UBC8
YEL047C	10	FRD1
YER048C	10	CAJ1
YER068W	10	MOT2
YER072W	10	VTC1
YER144C	10	UBP5
YER164W	10	CHD1
YFL003C	10	MSH4
YFR040W	10	SAP155
YGL031C	10	RPL24A
YGL203C	10	KEX1
YGR058W	10	PEF1
YHR115C	10	DMA1
YIL036W	10	CST6
YIL079C	10	AIR1
YIL105C	10	SLM1
YIL138C	10	TPM2
YIR018W	10	YAP5
YJL105W	10	SET4
YJL140W	10	RPB4
YJL177W	10	RPL17B
YJR010C-A	10	SPC1
YKL160W	10	ELF1
YLR096W	10	KIN2
YLR180W	10	SAM1
YLR450W	10	HMG2
YLR454W	10	FMP27
YML051W	10	GAL80
YML095C	10	RAD10
YMR119W	10	ASI1
YMR127C	10	SAS2
YMR284W	10	YKU70
YNL027W	10	CRZ1
YNL154C	10	YCK2
YNL183C	10	NPR1
YNL323W	10	LEM3
YOL049W	10	GSH2
YOL116W	10	MSN1
YOR213C	10	SAS5
