ORF	Gene	gene_set	set_label
YNR031C	SSK2	HOG1	gene set picked by clustering raw S-scores
YGL194C	HOS2	SET3	gene set picked by clustering raw S-scores
YKR029C	SET3	SET3	gene set picked by clustering raw S-scores
YBR103W	SIF2	SET3	gene set picked by clustering raw S-scores
YNL119W	NCS2	Urmylation	gene set picked by clustering raw S-scores
YGL211W	NCS6	Urmylation	gene set picked by clustering raw S-scores
YHR111W	UBA4	Urmylation	gene set picked by clustering raw S-scores
YKL068W	NUP100	SAGA	gene set picked by clustering raw S-scores
YPL047W	SGF11	SAGA	gene set picked by clustering raw S-scores
YMR223W	UBP8	SAGA	gene set picked by clustering raw S-scores
YKR082W	NUP133	mRNA export	gene set picked by clustering raw S-scores
YDR159W	SAC3	mRNA export	gene set picked by clustering raw S-scores
YDR363W-A	SEM1	mRNA export	gene set picked by clustering raw S-scores
YHR167W	THP2	mRNA export	gene set picked by clustering raw S-scores
YBL079W	NUP170	Inner NPC	gene set picked by clustering raw S-scores
YML103C	NUP188	Inner NPC	gene set picked by clustering raw S-scores
YLR018C	POM34	Inner NPC	gene set picked by clustering raw S-scores
YMR198W	CIK1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGL093W	SPC105	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGR113W	DAM1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YPR141C	KAR3	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YBR211C	AME1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YFL009W	CDC4	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YFL009W	CDC4	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YAL040C	CLN3	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YGR179C	OKP1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YPL233W	NSL1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YJR112W	NNF1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDR201W	SPC19	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YMR117C	SPC24	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YDR180W	SCC2	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YFL008W	SMC1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YFL008W	SMC1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
YIR010W	DSN1	strong pos with T34 and D79: kinetochore, cohesin, spindle assembly checkpoint	gene sets from clustering correlations of select mutants
