ORF	Gene	gene_set	set_label
YDR364C	CDC40	mRNA maturation	tina hand-curated processes
YGL130W	CEG1	mRNA maturation	tina hand-curated processes
YPL228W	CET1	mRNA maturation	tina hand-curated processes
YKL139W	CTK1	mRNA maturation	tina hand-curated processes
YJL006C	CTK2	mRNA maturation	tina hand-curated processes
YML112W	CTK3	mRNA maturation	tina hand-curated processes
YDR163W	CWC15	mRNA maturation	tina hand-curated processes
YDR482C	CWC21	mRNA maturation	tina hand-curated processes
YGR278W	CWC22	mRNA maturation	tina hand-curated processes
YGL128C	CWC23	mRNA maturation	tina hand-curated processes
YNL245C	CWC25	mRNA maturation	tina hand-curated processes
YPL064C	CWC27	mRNA maturation	tina hand-curated processes
YKL149C	DBR1	mRNA maturation	tina hand-curated processes
YPR082C	DIB1	mRNA maturation	tina hand-curated processes
YGR093W	DRN1	mRNA maturation	tina hand-curated processes
YDR370C	DXO1	mRNA maturation	tina hand-curated processes
YBR065C	ECM2	mRNA maturation	tina hand-curated processes
YBR102C	EXO84	mRNA maturation	tina hand-curated processes
YER032W	FIR1	mRNA maturation	tina hand-curated processes
YOL123W	HRP1	mRNA maturation	tina hand-curated processes
YOR319W	HSH49	mRNA maturation	tina hand-curated processes
YIR005W	IST3	mRNA maturation	tina hand-curated processes
YJR050W	ISY1	mRNA maturation	tina hand-curated processes
YHR156C	LIN1	mRNA maturation	tina hand-curated processes
LSR1	LSR1	mRNA maturation	tina hand-curated processes
YDL087C	LUC7	mRNA maturation	tina hand-curated processes
YNL210W	MER1	mRNA maturation	tina hand-curated processes
YKL059C	MPE1	mRNA maturation	tina hand-curated processes
YPL184C	MRN1	mRNA maturation	tina hand-curated processes
YIR021W	MRS1	mRNA maturation	tina hand-curated processes
YIR009W	MSL1	mRNA maturation	tina hand-curated processes
YLR116W	MSL5	mRNA maturation	tina hand-curated processes
YBR119W	MUD1	mRNA maturation	tina hand-curated processes
YKL074C	MUD2	mRNA maturation	tina hand-curated processes
YPL190C	NAB3	mRNA maturation	tina hand-curated processes
YHR086W	NAM8	mRNA maturation	tina hand-curated processes
YDR432W	NPL3	mRNA maturation	tina hand-curated processes
YNL251C	NRD1	mRNA maturation	tina hand-curated processes
YER165W	PAB1	mRNA maturation	tina hand-curated processes
YKR002W	PAP1	mRNA maturation	tina hand-curated processes
YDR228C	PCF11	mRNA maturation	tina hand-curated processes
YNL317W	PFS2	mRNA maturation	tina hand-curated processes
YKR086W	PRP16	mRNA maturation	tina hand-curated processes
YLL036C	PRP19	mRNA maturation	tina hand-curated processes
YNR011C	PRP2	mRNA maturation	tina hand-curated processes
YER013W	PRP22	mRNA maturation	tina hand-curated processes
YGL120C	PRP43	mRNA maturation	tina hand-curated processes
YAL032C	PRP45	mRNA maturation	tina hand-curated processes
YHR165C	PRP8	mRNA maturation	tina hand-curated processes
YDL030W	PRP9	mRNA maturation	tina hand-curated processes
YAL043C	PTA1	mRNA maturation	tina hand-curated processes
YGR156W	PTI1	mRNA maturation	tina hand-curated processes
YPR094W	RDS3	mRNA maturation	tina hand-curated processes
YDR195W	REF2	mRNA maturation	tina hand-curated processes
YMR061W	RNA14	mRNA maturation	tina hand-curated processes
YGL044C	RNA15	mRNA maturation	tina hand-curated processes
YGR276C	RNH70	mRNA maturation	tina hand-curated processes
YJL140W	RPB4	mRNA maturation	tina hand-curated processes
YDR404C	RPB7	mRNA maturation	tina hand-curated processes
YML049C	RSE1	mRNA maturation	tina hand-curated processes
YFR005C	SAD1	mRNA maturation	tina hand-curated processes
YDR088C	SLU7	mRNA maturation	tina hand-curated processes
YIL061C	SNP1	mRNA maturation	tina hand-curated processes
snR6	SNR6	mRNA maturation	tina hand-curated processes
YKL173W	SNU114	mRNA maturation	tina hand-curated processes
YEL026W	SNU13	mRNA maturation	tina hand-curated processes
YDL098C	SNU23	mRNA maturation	tina hand-curated processes
YDR240C	SNU56	mRNA maturation	tina hand-curated processes
YOR308C	SNU66	mRNA maturation	tina hand-curated processes
YGR013W	SNU71	mRNA maturation	tina hand-curated processes
YBR152W	SPP381	mRNA maturation	tina hand-curated processes
YNL187W	SWT21	mRNA maturation	tina hand-curated processes
YOR179C	SYC1	mRNA maturation	tina hand-curated processes
YDR416W	SYF1	mRNA maturation	tina hand-curated processes
YPL157W	TGS1	mRNA maturation	tina hand-curated processes
YPR045C	THP3	mRNA maturation	tina hand-curated processes
YLR298C	YHC1	mRNA maturation	tina hand-curated processes
YJR084W	YJR084W	mRNA maturation	tina hand-curated processes
YKL095W	YJU2	mRNA maturation	tina hand-curated processes
YDR381W	YRA1	mRNA maturation	tina hand-curated processes
YLR277C	YSH1	mRNA maturation	tina hand-curated processes
YPR107C	YTH1	mRNA maturation	tina hand-curated processes
YER036C	ARB1	ribosome biogenesis	tina hand-curated processes
YIL096C	BMT5	ribosome biogenesis	tina hand-curated processes
YDL031W	DBP10	ribosome biogenesis	tina hand-curated processes
YNR038W	DBP6	ribosome biogenesis	tina hand-curated processes
YER088C	DOT6	ribosome biogenesis	tina hand-curated processes
YHL039W	EFM1	ribosome biogenesis	tina hand-curated processes
YBR271W	EFM2	ribosome biogenesis	tina hand-curated processes
YPL141C	FRK1	ribosome biogenesis	tina hand-curated processes
YLL035W	GRC3	ribosome biogenesis	tina hand-curated processes
YMR290C	HAS1	ribosome biogenesis	tina hand-curated processes
YGR187C	HGH1	ribosome biogenesis	tina hand-curated processes
YPR169W	JIP5	ribosome biogenesis	tina hand-curated processes
YNL227C	JJJ1	ribosome biogenesis	tina hand-curated processes
YER110C	KAP123	ribosome biogenesis	tina hand-curated processes
YPL125W	KAP120	ribosome biogenesis 	tina hand-curated processes
YNL308C	KRI1	ribosome biogenesis	tina hand-curated processes
YNL132W	KRE33	ribosome biogenesis	tina hand-curated processes
YKR063C	LAS1	ribosome biogenesis	tina hand-curated processes
YDR060W	MAK21	ribosome biogenesis	tina hand-curated processes
YPL211W	NIP7	ribosome biogenesis	tina hand-curated processes
YOR206W	NOC2	ribosome biogenesis	tina hand-curated processes
YDL213C	NOP6	ribosome biogenesis	tina hand-curated processes
YGR251W	NOP19	ribosome biogenesis	tina hand-curated processes
YPL146C	NOP53	ribosome biogenesis	tina hand-curated processes
YDL167C	NRP1	ribosome biogenesis	tina hand-curated processes
YGR159C	NSR1	ribosome biogenesis	tina hand-curated processes
YLR196W	PWP1	ribosome biogenesis	tina hand-curated processes
YOL010W	RCL1	ribosome biogenesis	tina hand-curated processes
YNL163C	RIA1	ribosome biogenesis	tina hand-curated processes
YDR091C	RLI1	ribosome biogenesis	tina hand-curated processes
YJL189W	RPL39	ribosome biogenesis	tina hand-curated processes
YMR229C	RRP5	ribosome biogenesis	tina hand-curated processes
YCL031C	RRP7	ribosome biogenesis	tina hand-curated processes
YOR294W	RRS1	ribosome biogenesis	tina hand-curated processes
YDL025C	RTK1	ribosome biogenesis	tina hand-curated processes
YHR205W	SCH9	ribosome biogenesis	tina hand-curated processes
YMR269W	TMA23	ribosome biogenesis	tina hand-curated processes
YBL054W	TOD6	ribosome biogenesis	tina hand-curated processes
YJR066W	TOR1	ribosome biogenesis	tina hand-curated processes
YNR046W	TRM112	ribosome biogenesis	tina hand-curated processes
YNL186W	UBP10	ribosome biogenesis	tina hand-curated processes
YJR041C	URB2	ribosome biogenesis	tina hand-curated processes
YBL028C	YBL028C	ribosome biogenesis	tina hand-curated processes
YCR016W	YCR016W	ribosome biogenesis	tina hand-curated processes
YGR283C	YGR283C	ribosome biogenesis	tina hand-curated processes
YMR310C	YMR310C	ribosome biogenesis	tina hand-curated processes
YGR285C	ZUO1	ribosome biogenesis	tina hand-curated processes
YDR299W	BFR2	rRNA processing	tina hand-curated processes
YPL217C	BMS1	rRNA processing	tina hand-curated processes
YOL077C	BRX1	rRNA processing	tina hand-curated processes
YCR047C	BUD21	rRNA processing	tina hand-curated processes
YCR047C	BUD23	rRNA processing	tina hand-curated processes
YGL029W	CGR1	rRNA processing	tina hand-curated processes
YLR003C	CMS1	rRNA processing	tina hand-curated processes
YNL112W	DBP2	rRNA processing	tina hand-curated processes
YGL078C	DBP3	rRNA processing	tina hand-curated processes
YLR276C	DBP9	rRNA processing	tina hand-curated processes
YPL266W	DIM1	rRNA processing	tina hand-curated processes
YLR129W	DIP2	rRNA processing	tina hand-curated processes
YLR186W	EMG1	rRNA processing	tina hand-curated processes
YBR247C	ENP1	rRNA processing	tina hand-curated processes
YGR145W	ENP2	rRNA processing	tina hand-curated processes
YDR365C	ESF1	rRNA processing	tina hand-curated processes
YNR054C	ESF2	rRNA processing	tina hand-curated processes
YIL019W	FAF1	rRNA processing	tina hand-curated processes
YDL166C	FAP7	rRNA processing	tina hand-curated processes
YDR339C	FCF1	rRNA processing	tina hand-curated processes
YLR051C	FCF2	rRNA processing	tina hand-curated processes
YHR089C	GAR1	rRNA processing	tina hand-curated processes
YJL033W	HCA4	rRNA processing	tina hand-curated processes
YLR192C	HCR1	rRNA processing	tina hand-curated processes
HRA1	HRA1	rRNA processing	tina hand-curated processes
YLR223C	IFH1	rRNA processing	tina hand-curated processes
YHR148W	IMP3	rRNA processing	tina hand-curated processes
YNL075W	IMP4	rRNA processing	tina hand-curated processes
YHR085W	IPI1	rRNA processing	tina hand-curated processes
YNL182C	IPI3	rRNA processing	tina hand-curated processes
YKR063C	LAS1	rRNA processing	tina hand-curated processes
YER127W	LCP5	rRNA processing	tina hand-curated processes
YFR001W	LOC1	rRNA processing	tina hand-curated processes
YJR002W	MPP10	rRNA processing	tina hand-curated processes
YNL124W	NAF1	rRNA processing	tina hand-curated processes
YPL126W	NAN1	rRNA processing	tina hand-curated processes
YMR285C	NGL2	rRNA processing	tina hand-curated processes
YDL208W	NHP2	rRNA processing	tina hand-curated processes
YHR072W-A	NOP10	rRNA processing	tina hand-curated processes
YOL041C	NOP12	rRNA processing	tina hand-curated processes
YDL148C	NOP14	rRNA processing	tina hand-curated processes
YNL061W	NOP2	rRNA processing	tina hand-curated processes
YPL043W	NOP4	rRNA processing	tina hand-curated processes
YPL146C	NOP53	rRNA processing	tina hand-curated processes
YOR310C	NOP58	rRNA processing	tina hand-curated processes
YER126C	NSA2	rRNA processing	tina hand-curated processes
YGR159C	NSR1	rRNA processing	tina hand-curated processes
YOR145C	PNO1	rRNA processing	tina hand-curated processes
YGL120C	PRP43	rRNA processing	tina hand-curated processes
YLR196W	PWP1	rRNA processing	tina hand-curated processes
YOR048C	RAT1	rRNA processing	tina hand-curated processes
YOL010W	RCL1	rRNA processing	tina hand-curated processes
YNL207W	RIO2	rRNA processing	tina hand-curated processes
YHR197W	RIX1	rRNA processing	tina hand-curated processes
YNL002C	RLP7	rRNA processing	tina hand-curated processes
YLR145W	RMP1	rRNA processing	tina hand-curated processes
YMR239C	RNT1	rRNA processing	tina hand-curated processes
YGL171W	ROK1	rRNA processing	tina hand-curated processes
YKR081C	RPF2	rRNA processing	tina hand-curated processes
YKL180W	RPL17A	rRNA processing	tina hand-curated processes
YJL177W	RPL17B	rRNA processing	tina hand-curated processes
YGL030W	RPL30	rRNA processing	tina hand-curated processes
YLR185W	RPL37A	rRNA processing	tina hand-curated processes
YDR500C	RPL37B	rRNA processing	tina hand-curated processes
YGL076C	RPL7A	rRNA processing	tina hand-curated processes
YPL198W	RPL7B	rRNA processing	tina hand-curated processes
YHL033C	RPL8A	rRNA processing	tina hand-curated processes
YLL045C	RPL8B	rRNA processing	tina hand-curated processes
YCR031C	RPS14A	rRNA processing	tina hand-curated processes
YJL191W	RPS14B	rRNA processing	tina hand-curated processes
YDR087C	RRP1	rRNA processing	tina hand-curated processes
YPR143W	RRP15	rRNA processing	tina hand-curated processes
YHR065C	RRP3	rRNA processing	tina hand-curated processes
YMR229C	RRP5	rRNA processing	tina hand-curated processes
YCL031C	RRP7	rRNA processing	tina hand-curated processes
YPR137W	RRP9	rRNA processing	tina hand-curated processes
YDL153C	SAS10	rRNA processing	tina hand-curated processes
YIL104C	SHQ1	rRNA processing	tina hand-curated processes
YGR081C	SLX9	rRNA processing	tina hand-curated processes
snR10	SNR10	rRNA processing	tina hand-curated processes
YEL026W	SNU13	rRNA processing	tina hand-curated processes
YOR308C	SNU66	rRNA processing	tina hand-curated processes
YCL054W	SPB1	rRNA processing	tina hand-curated processes
YCR018C	SRD1	rRNA processing	tina hand-curated processes
YDL060W	TSR1	rRNA processing	tina hand-curated processes
YLR435W	TSR2	rRNA processing	tina hand-curated processes
YOR006C	TSR3	rRNA processing	tina hand-curated processes
YOL022C	TSR4	rRNA processing	tina hand-curated processes
YJL109C	UTP10	rRNA processing	tina hand-curated processes
YKL099C	UTP11	rRNA processing	tina hand-curated processes
YLR222C	UTP13	rRNA processing	tina hand-curated processes
YML093W	UTP14	rRNA processing	tina hand-curated processes
YMR093W	UTP15	rRNA processing	tina hand-curated processes
YJL069C	UTP18	rRNA processing	tina hand-curated processes
YBL004W	UTP20	rRNA processing	tina hand-curated processes
YLR409C	UTP21	rRNA processing	tina hand-curated processes
YDR324C	UTP4	rRNA processing	tina hand-curated processes
YDR398W	UTP5	rRNA processing	tina hand-curated processes
YDR449C	UTP6	rRNA processing	tina hand-curated processes
YER082C	UTP7	rRNA processing	tina hand-curated processes
YGR128C	UTP8	rRNA processing	tina hand-curated processes
YHR196W	UTP9	rRNA processing	tina hand-curated processes
YOR272W	YTM1	rRNA processing	tina hand-curated processes
YDR299W	BFR2	Small Subunit (SSU) processome complex	tina hand-curated processes
YCR047C	BUD21	Small Subunit (SSU) processome complex	tina hand-curated processes
YLR129W	DIP2	Small Subunit (SSU) processome complex	tina hand-curated processes
YGR145W	ENP2	Small Subunit (SSU) processome complex	tina hand-curated processes
YNR054C	ESF2	Small Subunit (SSU) processome complex	tina hand-curated processes
YDR339C	FCF1	Small Subunit (SSU) processome complex	tina hand-curated processes
YJL033W	HCA4	Small Subunit (SSU) processome complex	tina hand-curated processes
YHR148W	IMP3	Small Subunit (SSU) processome complex	tina hand-curated processes
YNL075W	IMP4	Small Subunit (SSU) processome complex	tina hand-curated processes
YJR002W	MPP10	Small Subunit (SSU) processome complex	tina hand-curated processes
YPL126W	NAN1	Small Subunit (SSU) processome complex	tina hand-curated processes
YMR229C	RRP5	Small Subunit (SSU) processome complex	tina hand-curated processes
YPR137W	RRP9	Small Subunit (SSU) processome complex	tina hand-curated processes
YDL153C	SAS10	Small Subunit (SSU) processome complex	tina hand-curated processes
YJL109C	UTP10	Small Subunit (SSU) processome complex	tina hand-curated processes
YKL099C	UTP11	Small Subunit (SSU) processome complex	tina hand-curated processes
YLR222C	UTP13	Small Subunit (SSU) processome complex	tina hand-curated processes
YML093W	UTP14	Small Subunit (SSU) processome complex	tina hand-curated processes
YMR093W	UTP15	Small Subunit (SSU) processome complex	tina hand-curated processes
YBL004W	UTP20	Small Subunit (SSU) processome complex	tina hand-curated processes
YLR409C	UTP21	Small Subunit (SSU) processome complex	tina hand-curated processes
YDR324C	UTP4	Small Subunit (SSU) processome complex	tina hand-curated processes
YDR398W	UTP5	Small Subunit (SSU) processome complex	tina hand-curated processes
YDR449C	UTP6	Small Subunit (SSU) processome complex	tina hand-curated processes
YER082C	UTP7	Small Subunit (SSU) processome complex	tina hand-curated processes
YGR128C	UTP8	Small Subunit (SSU) processome complex	tina hand-curated processes
YHR196W	UTP9	Small Subunit (SSU) processome complex	tina hand-curated processes
YDR101C	ARX1	ribosome export	tina hand-curated processes
YLR074C	BUD20	ribosome export	tina hand-curated processes
YCR047C	BUD23	ribosome export	tina hand-curated processes
YGR218W	CRM1	ribosome export	tina hand-curated processes
YAL059W	ECM1	ribosome export	tina hand-curated processes
YHR170W	NMD3	ribosome export	tina hand-curated processes
YPR144C	NOC4	ribosome export	tina hand-curated processes
YNR053C	NOG2	ribosome export	tina hand-curated processes
YDL148C	NOP14	ribosome export	tina hand-curated processes
YJL010C	NOP9	ribosome export	tina hand-curated processes
YER006W	NUG1	ribosome export	tina hand-curated processes
YLL034C	RIX7	ribosome export	tina hand-curated processes
YHR088W	RPF1	ribosome export	tina hand-curated processes
YPL012W	RRP12	ribosome export	tina hand-curated processes
YOR294W	RRS1	ribosome export	tina hand-curated processes
YPL239W	YAR1	ribosome export	tina hand-curated processes
YFL039C	ACT1	spindle assembly	tina hand-curated processes
YGL021W	ALK1	spindle assembly	tina hand-curated processes
YBL009W	ALK2	spindle assembly	tina hand-curated processes
YJR089W	BIR1	spindle assembly	tina hand-curated processes
YEL061C	CIN8	spindle assembly	tina hand-curated processes
YDL155W	CLB3	spindle assembly	tina hand-curated processes
YLR210W	CLB4	spindle assembly	tina hand-curated processes
YPL018W	CTF19	spindle assembly	tina hand-curated processes
YLR381W	CTF3	spindle assembly	tina hand-curated processes
YKR054C	DYN1	spindle assembly	tina hand-curated processes
YER133W	GLC7	spindle assembly	tina hand-curated processes
YCR065W	HCM1	spindle assembly	tina hand-curated processes
YBL063W	KIP1	spindle assembly	tina hand-curated processes
YGL216W	KIP3	spindle assembly	tina hand-curated processes
YGL086W	MAD1	spindle assembly	tina hand-curated processes
YJL030W	MAD2	spindle assembly	tina hand-curated processes
YJL013C	MAD3	spindle assembly	tina hand-curated processes
YKL089W	MIF2	spindle assembly	tina hand-curated processes
YIL144W	NDC80	spindle assembly	tina hand-curated processes
YBR156C	SLI15	spindle assembly	tina hand-curated processes
YDR356W	SPC110	spindle assembly	tina hand-curated processes
YHR172W	SPC97	spindle assembly	tina hand-curated processes
YNL126W	SPC98	spindle assembly	tina hand-curated processes
YNL012W	SPO1	spindle assembly	tina hand-curated processes
YLR045C	STU2	spindle assembly	tina hand-curated processes
YLR212C	TUB4	spindle assembly	tina hand-curated processes
YDL239C	ADY3	spindle pole body	tina hand-curated processes
YLR227C	ADY4	spindle pole body	tina hand-curated processes
YPL255W	BBP1	spindle pole body	tina hand-curated processes
YOR257W	CDC31	spindle pole body	tina hand-curated processes
YNL225C	CNM67	spindle pole body	tina hand-curated processes
YDR273W	DON1	spindle pole body	tina hand-curated processes
YMR276W	DSK2	spindle pole body	tina hand-curated processes
YDR130C	FIN1	spindle pole body	tina hand-curated processes
YNL188W	KAR1	spindle pole body	tina hand-curated processes
YPR141C	KAR3	spindle pole body	tina hand-curated processes
YHR102W	KIC1	spindle pole body	tina hand-curated processes
YOR177C	MPC54	spindle pole body	tina hand-curated processes
YDL028C	MPS1	spindle pole body	tina hand-curated processes
YGL075C	MPS2	spindle pole body	tina hand-curated processes
YLR457C	NBP1	spindle pole body	tina hand-curated processes
YPL192C	PRM3	spindle pole body	tina hand-curated processes
YOR259C	RPT4	spindle pole body	tina hand-curated processes
YLL003W	SFI1	spindle pole body	tina hand-curated processes
YDR356W	SPC110	spindle pole body	tina hand-curated processes
YDR201W	SPC19	spindle pole body	tina hand-curated processes
YPL124W	SPC29	spindle pole body	tina hand-curated processes
YKR037C	SPC34	spindle pole body	tina hand-curated processes
YKL042W	SPC42	spindle pole body	tina hand-curated processes
YHR172W	SPC97	spindle pole body	tina hand-curated processes
YNL126W	SPC98	spindle pole body	tina hand-curated processes
YNL012W	SPO1	spindle pole body	tina hand-curated processes
YOL091W	SPO21	spindle pole body	tina hand-curated processes
YGL170C	SPO74	spindle pole body	tina hand-curated processes
YLR045C	STU2	spindle pole body	tina hand-curated processes
YLR212C	TUB4	spindle pole body	tina hand-curated processes
YBR211C	AME1	kinetochore	tina hand-curated processes
YKL052C	ASK1	kinetochore	tina hand-curated processes
YCL029C	BIK1	kinetochore	tina hand-curated processes
YJR089W	BIR1	kinetochore	tina hand-curated processes
YGR188C	BUB1	kinetochore	tina hand-curated processes
YMR055C	BUB2	kinetochore	tina hand-curated processes
YOR026W	BUB3	kinetochore	tina hand-curated processes
YML102W	CAC2	kinetochore	tina hand-curated processes
YJR060W	CBF1	kinetochore	tina hand-curated processes
YGR140W	CBF2	kinetochore	tina hand-curated processes
YDL017W	CDC7	kinetochore	tina hand-curated processes
YMR168C	CEP3	kinetochore	tina hand-curated processes
YDR254W	CHL4	kinetochore	tina hand-curated processes
YFR046C	CNN1	kinetochore	tina hand-curated processes
YKL049C	CSE4	kinetochore	tina hand-curated processes
YCR086W	CSM1	kinetochore	tina hand-curated processes
YPL018W	CTF19	kinetochore	tina hand-curated processes
YLR381W	CTF3	kinetochore	tina hand-curated processes
YDR016C	DAD1	kinetochore	tina hand-curated processes
YKR083C	DAD2	kinetochore	tina hand-curated processes
YBR233W-A	DAD3	kinetochore	tina hand-curated processes
YDR320C-A	DAD4	kinetochore	tina hand-curated processes
YGR113W	DAM1	kinetochore	tina hand-curated processes
YIR010W	DSN1	kinetochore	tina hand-curated processes
YGL061C	DUO1	kinetochore	tina hand-curated processes
YBL008W	HIR1	kinetochore	tina hand-curated processes
YPL204W	HRR25	kinetochore	tina hand-curated processes
YKL138C-A	HSK3	kinetochore	tina hand-curated processes
YBR107C	IML3	kinetochore	tina hand-curated processes
YPL209C	IPL1	kinetochore	tina hand-curated processes
YPL269W	KAR9	kinetochore	tina hand-curated processes
YDR532C	KRE28	kinetochore	tina hand-curated processes
YDR439W	LRS4	kinetochore	tina hand-curated processes
YER106W	MAM1	kinetochore	tina hand-curated processes
YPR046W	MCM16	kinetochore	tina hand-curated processes
YDR318W	MCM21	kinetochore	tina hand-curated processes
YJR135C	MCM22	kinetochore	tina hand-curated processes
YKL089W	MIF2	kinetochore	tina hand-curated processes
YDL028C	MPS1	kinetochore	tina hand-curated processes
YBR195C	MSI1	kinetochore	tina hand-curated processes
YAL034W-A	MTW1	kinetochore	tina hand-curated processes
YIL144W	NDC80	kinetochore	tina hand-curated processes
YDR383C	NKP1	kinetochore	tina hand-curated processes
YLR315W	NKP2	kinetochore	tina hand-curated processes
YJR112W	NNF1	kinetochore	tina hand-curated processes
YPL233W	NSL1	kinetochore	tina hand-curated processes
YOL069W	NUF2	kinetochore	tina hand-curated processes
YGR179C	OKP1	kinetochore	tina hand-curated processes
YPR018W	RLF2	kinetochore	tina hand-curated processes
YDL139C	SCM3	kinetochore	tina hand-curated processes
YOR073W	SGO1	kinetochore	tina hand-curated processes
YOR057W	SGT1	kinetochore	tina hand-curated processes
YDR328C	SKP1	kinetochore	tina hand-curated processes
YBR156C	SLI15	kinetochore	tina hand-curated processes
YOR195W	SLK19	kinetochore	tina hand-curated processes
YGL093W	SPC105	kinetochore	tina hand-curated processes
YDR201W	SPC19	kinetochore	tina hand-curated processes
YMR117C	SPC24	kinetochore	tina hand-curated processes
YER018C	SPC25	kinetochore	tina hand-curated processes
YKR037C	SPC34	kinetochore	tina hand-curated processes
YHR014W	SPO13	kinetochore	tina hand-curated processes
YGR063C	SPT4	kinetochore	tina hand-curated processes
YBL034C	STU1	kinetochore	tina hand-curated processes
YDR374W-A	WIP1	kinetochore	tina hand-curated processes
YGL060W	YBP2	kinetochore	tina hand-curated processes
YAL011W	SWC3	chromatin remodeling	tina hand-curated processes
YAL013W	DEP1	chromatin remodeling	tina hand-curated processes
YAL019W	FUN30	chromatin remodeling	tina hand-curated processes
YAR003W	SWD1	chromatin remodeling	tina hand-curated processes
YBL002W	HTB2	chromatin remodeling	tina hand-curated processes
YBL003C	HTA2	chromatin remodeling	tina hand-curated processes
YBL052C	SAS3	chromatin remodeling	tina hand-curated processes
YBL054W	TOD6	chromatin remodeling	tina hand-curated processes
YBR009C	HHF1	chromatin remodeling	tina hand-curated processes
YBR010W	HHT1	chromatin remodeling	tina hand-curated processes
YBR089C-A	NHP6B	chromatin remodeling	tina hand-curated processes
YBR095C	RXT2	chromatin remodeling	tina hand-curated processes
YBR103W	SIF2	chromatin remodeling	tina hand-curated processes
YBR175W	SWD3	chromatin remodeling	tina hand-curated processes
YBR231C	SWC5	chromatin remodeling	tina hand-curated processes
YBR245C	ISW1	chromatin remodeling	tina hand-curated processes
YBR258C	SHG1	chromatin remodeling	tina hand-curated processes
YBR289W	SNF5	chromatin remodeling	tina hand-curated processes
YCR020W-B	HTL1	chromatin remodeling	tina hand-curated processes
YCR033W	SNT1	chromatin remodeling	tina hand-curated processes
YDL002C	NHP10	chromatin remodeling	tina hand-curated processes
YDL070W	BDF2	chromatin remodeling	tina hand-curated processes
YDL074C	BRE1	chromatin remodeling	tina hand-curated processes
YDL076C	RXT3	chromatin remodeling	tina hand-curated processes
YDL197C	ASF2	chromatin remodeling	tina hand-curated processes
YDR073W	SNF11	chromatin remodeling	tina hand-curated processes
YDR096W	GIS1	chromatin remodeling	tina hand-curated processes
YDR181C	SAS4	chromatin remodeling	tina hand-curated processes
YDR191W	HST4	chromatin remodeling	tina hand-curated processes
YDR207C	UME6	chromatin remodeling	tina hand-curated processes
YDR225W	HTA1	chromatin remodeling	tina hand-curated processes
YDR334W	SWR1	chromatin remodeling	tina hand-curated processes
YDR359C	EAF1	chromatin remodeling	tina hand-curated processes
YDR363W	ESC2	chromatin remodeling	tina hand-curated processes
YDR440W	DOT1	chromatin remodeling	tina hand-curated processes
YDR469W	SDC1	chromatin remodeling	tina hand-curated processes
YDR485C	VPS72	chromatin remodeling	tina hand-curated processes
YEL018W	EAF5	chromatin remodeling	tina hand-curated processes
YEL056W	HAT2	chromatin remodeling	tina hand-curated processes
YER030W	CHZ1	chromatin remodeling	tina hand-curated processes
YER051W	JHD1	chromatin remodeling	tina hand-curated processes
YER088C	DOT6	chromatin remodeling	tina hand-curated processes
YFL013C	IES1	chromatin remodeling	tina hand-curated processes
YFR013W	IOC3	chromatin remodeling	tina hand-curated processes
YGL133W	ITC1	chromatin remodeling	tina hand-curated processes
YGL194C	HOS2	chromatin remodeling	tina hand-curated processes
YGR056W	RSC1	chromatin remodeling	tina hand-curated processes
YGR275W	RTT102	chromatin remodeling	tina hand-curated processes
YHL025W	SNF6	chromatin remodeling	tina hand-curated processes
YHR013C	ARD1	chromatin remodeling	tina hand-curated processes
YHR207C	SET5	chromatin remodeling	tina hand-curated processes
YIL084C	SDS3	chromatin remodeling	tina hand-curated processes
YIL112W	HOS4	chromatin remodeling	tina hand-curated processes
YJL065C	DLS1	chromatin remodeling	tina hand-curated processes
YJL176C	SWI3	chromatin remodeling	tina hand-curated processes
YJR082C	EAF6	chromatin remodeling	tina hand-curated processes
YJR119C	JHD2	chromatin remodeling	tina hand-curated processes
YKL185W	ASH1	chromatin remodeling	tina hand-curated processes
YKR029C	SET3	chromatin remodeling	tina hand-curated processes
YKR101W	SIR1	chromatin remodeling	tina hand-curated processes
YLR015W	BRE2	chromatin remodeling	tina hand-curated processes
YLR052W	IES3	chromatin remodeling	tina hand-curated processes
YLR085C	ARP6	chromatin remodeling	tina hand-curated processes
YLR095C	IOC2	chromatin remodeling	tina hand-curated processes
YLR315W	NKP2	chromatin remodeling	tina hand-curated processes
YLR357W	RSC2	chromatin remodeling	tina hand-curated processes
YLR385C	SWC7	chromatin remodeling	tina hand-curated processes
YLR449W	FPR4	chromatin remodeling	tina hand-curated processes
YLR455W	PDP3	chromatin remodeling	tina hand-curated processes
YML041C	VPS71	chromatin remodeling	tina hand-curated processes
YMR044W	IOC4	chromatin remodeling	tina hand-curated processes
YMR069W	NAT4	chromatin remodeling	tina hand-curated processes
YMR127C	SAS2	chromatin remodeling	tina hand-curated processes
YMR219W	ESC1	chromatin remodeling	tina hand-curated processes
YMR263W	SAP30	chromatin remodeling	tina hand-curated processes
YNL021W	HDA1	chromatin remodeling	tina hand-curated processes
YNL030W	HHF2	chromatin remodeling	tina hand-curated processes
YNL031C	HHT2	chromatin remodeling	tina hand-curated processes
YNL097C	PHO23	chromatin remodeling	tina hand-curated processes
YNL107W	YAF9	chromatin remodeling	tina hand-curated processes
YNL136W	EAF7	chromatin remodeling	tina hand-curated processes
YNL201C	PSY2	chromatin remodeling	tina hand-curated processes
YNL215W	IES2	chromatin remodeling	tina hand-curated processes
YNL246W	VPS75	chromatin remodeling	tina hand-curated processes
