ORF	cluster	gene_name
YDR392W	transcription and mRNA processing_GO_3	SPT3
YER111C	transcription and mRNA processing_GO_3	SWI4
YER139C	transcription and mRNA processing_GO_3	RTR1
YER155C	transcription and mRNA processing_GO_3	BEM2
YER161C	transcription and mRNA processing_GO_3	SPT2
YFL001W	transcription and mRNA processing_GO_3	DEG1
YGL133W	transcription and mRNA processing_GO_3	ITC1
YGL211W	transcription and mRNA processing_GO_3	NCS6
YGR122W	transcription and mRNA processing_GO_3	YGR122W
YGR200C	transcription and mRNA processing_GO_3	ELP2
YHL027W	transcription and mRNA processing_GO_3	RIM101
YHR111W	transcription and mRNA processing_GO_3	UBA4
YHR187W	transcription and mRNA processing_GO_3	IKI1
YIL008W	transcription and mRNA processing_GO_3	URM1
YIL035C	transcription and mRNA processing_GO_3	CKA1
YJL115W	transcription and mRNA processing_GO_3	ASF1
YJR140C	transcription and mRNA processing_GO_3	HIR3
YKL110C	transcription and mRNA processing_GO_3	KTI12
YKL160W	transcription and mRNA processing_GO_3	ELF1
YKL208W	transcription and mRNA processing_GO_3	CBT1
YKR028W	transcription and mRNA processing_GO_3	SAP190
YLL002W	transcription and mRNA processing_GO_3	RTT109
YLR055C	transcription and mRNA processing_GO_3	SPT8
YLR401C	transcription and mRNA processing_GO_3	DUS3
YML007W	transcription and mRNA processing_GO_3	YAP1
YMR312W	transcription and mRNA processing_GO_3	ELP6
YNL021W	transcription and mRNA processing_GO_3	HDA1
YNL119W	transcription and mRNA processing_GO_3	NCS2
YNL229C	transcription and mRNA processing_GO_3	URE2
YNL255C	transcription and mRNA processing_GO_3	GIS2
YNL298W	transcription and mRNA processing_GO_3	CLA4
YOR027W	transcription and mRNA processing_GO_3	STI1
YOR304W	transcription and mRNA processing_GO_3	ISW2
YPL086C	transcription and mRNA processing_GO_3	ELP3
YPL101W	transcription and mRNA processing_GO_3	ELP4
YPR065W	transcription and mRNA processing_GO_3	ROX1
YBL103C	transcription and mRNA processing_GO_2	RTG3
YBR238C	transcription and mRNA processing_GO_2	YBR238C
YCR065W	transcription and mRNA processing_GO_2	HCM1
YDL020C	transcription and mRNA processing_GO_2	RPN4
YDL070W	transcription and mRNA processing_GO_2	BDF2
YDL076C	transcription and mRNA processing_GO_2	RXT3
YDL175C	transcription and mRNA processing_GO_2	AIR2
YDR159W	transcription and mRNA processing_GO_2	SAC3
YDR183W	transcription and mRNA processing_GO_2	PLP1
YDR378C	transcription and mRNA processing_GO_2	LSM6
YDR482C	transcription and mRNA processing_GO_2	CWC21
YDR505C	transcription and mRNA processing_GO_2	PSP1
YDR512C	transcription and mRNA processing_GO_2	EMI1
YGL014W	transcription and mRNA processing_GO_2	PUF4
YGL151W	transcription and mRNA processing_GO_2	NUT1
YGR072W	transcription and mRNA processing_GO_2	UPF3
YGR178C	transcription and mRNA processing_GO_2	PBP1
YGR270W	transcription and mRNA processing_GO_2	YTA7
YHR006W	transcription and mRNA processing_GO_2	STP2
YHR167W	transcription and mRNA processing_GO_2	THP2
YIR023W	transcription and mRNA processing_GO_2	DAL81
YIR033W	transcription and mRNA processing_GO_2	MGA2
YJL124C	transcription and mRNA processing_GO_2	LSM1
YJL168C	transcription and mRNA processing_GO_2	SET2
YJR084W	transcription and mRNA processing_GO_2	YJR084W
YKL032C	transcription and mRNA processing_GO_2	IXR1
YKL139W	transcription and mRNA processing_GO_2	CTK1
YKR082W	transcription and mRNA processing_GO_2	NUP133
YKR095W	transcription and mRNA processing_GO_2	MLP1
YLR113W	transcription and mRNA processing_GO_2	HOG1
YML017W	transcription and mRNA processing_GO_2	PSP2
YML051W	transcription and mRNA processing_GO_2	GAL80
YML062C	transcription and mRNA processing_GO_2	MFT1
YML094W	transcription and mRNA processing_GO_2	GIM5
YMR016C	transcription and mRNA processing_GO_2	SOK2
YMR039C	transcription and mRNA processing_GO_2	SUB1
YMR070W	transcription and mRNA processing_GO_2	MOT3
YMR075W	transcription and mRNA processing_GO_2	RCO1
YMR080C	transcription and mRNA processing_GO_2	NAM7
YMR205C	transcription and mRNA processing_GO_2	PFK2
YMR280C	transcription and mRNA processing_GO_2	CAT8
YNL076W	transcription and mRNA processing_GO_2	MKS1
YNL136W	transcription and mRNA processing_GO_2	EAF7
YNL147W	transcription and mRNA processing_GO_2	LSM7
YNL153C	transcription and mRNA processing_GO_2	GIM3
YNL236W	transcription and mRNA processing_GO_2	SIN4
YOL012C	transcription and mRNA processing_GO_2	HTZ1
YOR140W	transcription and mRNA processing_GO_2	SFL1
YOR298C-A	transcription and mRNA processing_GO_2	MBF1
YPL254W	transcription and mRNA processing_GO_2	HFI1
YPR023C	transcription and mRNA processing_GO_2	EAF3
YPR052C	transcription and mRNA processing_GO_2	NHP6A
YAL019W	transcription and mRNA processing_GO_1	FUN30
YBL021C	transcription and mRNA processing_GO_1	HAP3
YBR009C	transcription and mRNA processing_GO_1	HHF1
YBR057C	transcription and mRNA processing_GO_1	MUM2
YCL010C	transcription and mRNA processing_GO_1	SGF29
YCL037C	transcription and mRNA processing_GO_1	SRO9
YDL006W	transcription and mRNA processing_GO_1	PTC1
YDL170W	transcription and mRNA processing_GO_1	UGA3
YDL185W	transcription and mRNA processing_GO_1	VMA1
YDR005C	transcription and mRNA processing_GO_1	MAF1
YDR146C	transcription and mRNA processing_GO_1	SWI5
YDR217C	transcription and mRNA processing_GO_1	RAD9
YDR225W	transcription and mRNA processing_GO_1	HTA1
YDR293C	transcription and mRNA processing_GO_1	SSD1
YDR310C	transcription and mRNA processing_GO_1	SUM1
YEL037C	transcription and mRNA processing_GO_1	RAD23
YER068W	transcription and mRNA processing_GO_1	MOT2
YER151C	transcription and mRNA processing_GO_1	UBP3
YER164W	transcription and mRNA processing_GO_1	CHD1
YER174C	transcription and mRNA processing_GO_1	GRX4
YGL035C	transcription and mRNA processing_GO_1	MIG1
YGL049C	transcription and mRNA processing_GO_1	TIF4632
YGL066W	transcription and mRNA processing_GO_1	SGF73
YGL115W	transcription and mRNA processing_GO_1	SNF4
YGL131C	transcription and mRNA processing_GO_1	SNT2
YGL173C	transcription and mRNA processing_GO_1	XRN1
YHL020C	transcription and mRNA processing_GO_1	OPI1
YIL153W	transcription and mRNA processing_GO_1	RRD1
YJR060W	transcription and mRNA processing_GO_1	CBF1
YJR094C	transcription and mRNA processing_GO_1	IME1
YKL109W	transcription and mRNA processing_GO_1	HAP4
YKL204W	transcription and mRNA processing_GO_1	EAP1
YKR048C	transcription and mRNA processing_GO_1	NAP1
YLR131C	transcription and mRNA processing_GO_1	ACE2
YML112W	transcription and mRNA processing_GO_1	CTK3
YML117W	transcription and mRNA processing_GO_1	NAB6
YMR179W	transcription and mRNA processing_GO_1	SPT21
YMR223W	transcription and mRNA processing_GO_1	UBP8
YNL016W	transcription and mRNA processing_GO_1	PUB1
YNL167C	transcription and mRNA processing_GO_1	SKO1
YNL199C	transcription and mRNA processing_GO_1	GCR2
YNL224C	transcription and mRNA processing_GO_1	SQS1
YNL288W	transcription and mRNA processing_GO_1	CAF40
YNL292W	transcription and mRNA processing_GO_1	PUS4
YNR051C	transcription and mRNA processing_GO_1	BRE5
YOL006C	transcription and mRNA processing_GO_1	TOP1
YOL093W	transcription and mRNA processing_GO_1	TRM10
YOL116W	transcription and mRNA processing_GO_1	MSN1
YOR083W	transcription and mRNA processing_GO_1	WHI5
YOR358W	transcription and mRNA processing_GO_1	HAP5
YPL047W	transcription and mRNA processing_GO_1	SGF11
YPL089C	transcription and mRNA processing_GO_1	RLM1
YPL212C	transcription and mRNA processing_GO_1	PUS1
YPL226W	transcription and mRNA processing_GO_1	NEW1
YPR129W	transcription and mRNA processing_GO_1	SCD6
YPR134W	transcription and mRNA processing_GO_1	MSS18
YAR014C	Golgi and ER_GO_3	BUD14
YBR164C	Golgi and ER_GO_3	ARL1
YBR288C	Golgi and ER_GO_3	APM3
YCL001W	Golgi and ER_GO_3	RER1
YDL077C	Golgi and ER_GO_3	VAM6
YDR080W	Golgi and ER_GO_3	VPS41
YDR108W	Golgi and ER_GO_3	TRS85
YDR372C	Golgi and ER_GO_3	VPS74
YGL005C	Golgi and ER_GO_3	COG7
YGL212W	Golgi and ER_GO_3	VAM7
YHL031C	Golgi and ER_GO_3	GOS1
YJL004C	Golgi and ER_GO_3	SYS1
YJL024C	Golgi and ER_GO_3	APS3
YJL029C	Golgi and ER_GO_3	VPS53
YKR001C	Golgi and ER_GO_3	VPS1
YKR020W	Golgi and ER_GO_3	VPS51
YLR039C	Golgi and ER_GO_3	RIC1
YML067C	Golgi and ER_GO_3	ERV41
YML071C	Golgi and ER_GO_3	COG8
YMR052W	Golgi and ER_GO_3	FAR3
YMR054W	Golgi and ER_GO_3	STV1
YNL041C	Golgi and ER_GO_3	COG6
YNL044W	Golgi and ER_GO_3	YIP3
YNL051W	Golgi and ER_GO_3	COG5
YNL053W	Golgi and ER_GO_3	MSG5
YNL183C	Golgi and ER_GO_3	NPR1
YNL238W	Golgi and ER_GO_3	KEX2
YNL297C	Golgi and ER_GO_3	MON2
YOL018C	Golgi and ER_GO_3	TLG2
YOR070C	Golgi and ER_GO_3	GYP1
YOR106W	Golgi and ER_GO_3	VAM3
YPL051W	Golgi and ER_GO_3	ARL3
YPL195W	Golgi and ER_GO_3	APL5
YAL002W	Golgi and ER_GO_2	VPS8
YAL007C	Golgi and ER_GO_2	ERP2
YAL026C	Golgi and ER_GO_2	DRS2
YBL078C	Golgi and ER_GO_2	ATG8
YCR034W	Golgi and ER_GO_2	ELO2
YDL093W	Golgi and ER_GO_2	PMT5
YDL099W	Golgi and ER_GO_2	BUG1
YDL100C	Golgi and ER_GO_2	GET3
YDR153C	Golgi and ER_GO_2	ENT5
YDR233C	Golgi and ER_GO_2	RTN1
YER083C	Golgi and ER_GO_2	GET2
YER151C	Golgi and ER_GO_2	UBP3
YGL020C	Golgi and ER_GO_2	GET1
YGL054C	Golgi and ER_GO_2	ERV14
YGL058W	Golgi and ER_GO_2	RAD6
YGR197C	Golgi and ER_GO_2	SNG1
YHR012W	Golgi and ER_GO_2	VPS29
YHR181W	Golgi and ER_GO_2	SVP26
YIL076W	Golgi and ER_GO_2	SEC28
YIL128W	Golgi and ER_GO_2	MET18
YJL053W	Golgi and ER_GO_2	PEP8
YJL117W	Golgi and ER_GO_2	PHO86
YJL154C	Golgi and ER_GO_2	VPS35
YJR125C	Golgi and ER_GO_2	ENT3
YKL179C	Golgi and ER_GO_2	COY1
YKL212W	Golgi and ER_GO_2	SAC1
YKR030W	Golgi and ER_GO_2	GMH1
YLL038C	Golgi and ER_GO_2	ENT4
YLL040C	Golgi and ER_GO_2	VPS13
YLR181C	Golgi and ER_GO_2	VTA1
YML012W	Golgi and ER_GO_2	ERV25
YML097C	Golgi and ER_GO_2	VPS9
YMR004W	Golgi and ER_GO_2	MVP1
YMR274C	Golgi and ER_GO_2	RCE1
YMR292W	Golgi and ER_GO_2	GOT1
YNL049C	Golgi and ER_GO_2	SFB2
YNL154C	Golgi and ER_GO_2	YCK2
YNR051C	Golgi and ER_GO_2	BRE5
YOR069W	Golgi and ER_GO_2	VPS5
YOR089C	Golgi and ER_GO_2	VPS21
YOR132W	Golgi and ER_GO_2	VPS17
YOR216C	Golgi and ER_GO_2	RUD3
YPL120W	Golgi and ER_GO_2	VPS30
YAL023C	Golgi and ER_GO_1	PMT2
YAL042W	Golgi and ER_GO_1	ERV46
YBL007C	Golgi and ER_GO_1	SLA1
YBL017C	Golgi and ER_GO_1	PEP1
YBL047C	Golgi and ER_GO_1	EDE1
YBL082C	Golgi and ER_GO_1	ALG3
YBR015C	Golgi and ER_GO_1	MNN2
YBR132C	Golgi and ER_GO_1	AGP2
YBR229C	Golgi and ER_GO_1	ROT2
YCL008C	Golgi and ER_GO_1	STP22
YCR009C	Golgi and ER_GO_1	RVS161
YCR017C	Golgi and ER_GO_1	CWH43
YCR027C	Golgi and ER_GO_1	RHB1
YCR044C	Golgi and ER_GO_1	PER1
YDL091C	Golgi and ER_GO_1	UBX3
YDL095W	Golgi and ER_GO_1	PMT1
YDL226C	Golgi and ER_GO_1	GCS1
YDL232W	Golgi and ER_GO_1	OST4
YDR069C	Golgi and ER_GO_1	DOA4
