ORF	cluster	gene_name
YPL195W	14	APL5
YBL027W	13	RPL19B
YBR126C	13	TPS1
YCL037C	13	SRO9
YDL002C	13	NHP10
YDL033C	13	SLM3
YDL122W	13	UBP1
YDR092W	13	UBC13
YDR359C	13	EAF1
YDR443C	13	SSN2
YEL056W	13	HAT2
YFL013C	13	IES1
YFL031W	13	HAC1
YFR009W	13	GCN20
YGL087C	13	MMS2
YGL151W	13	NUT1
YGL195W	13	GCN1
YGR097W	13	ASK10
YHR079C	13	IRE1
YHR081W	13	LRP1
YIL128W	13	MET18
YJL157C	13	FAR1
YJR090C	13	GRR1
YKR101W	13	SIR1
YLR056W	13	ERG3
YLR119W	13	SRN2
YMR038C	13	CCS1
YMR201C	13	RAD14
YNL025C	13	SSN8
YNL076W	13	MKS1
YNL218W	13	MGS1
YNL288W	13	CAF40
YPL022W	13	RAD1
YAL024C	12	LTE1
YBL061C	12	SKT5
YBL066C	12	SEF1
YBR023C	12	CHS3
YBR131W	12	CCZ1
YDR075W	12	PPH3
YDR363W-A	12	SEM1
YDR378C	12	LSM6
YDR435C	12	PPM1
YER019W	12	ISC1
YER114C	12	BOI2
YFR019W	12	FAB1
YGL124C	12	MON1
YGR135W	12	PRE9
YHR142W	12	CHS7
YJL124C	12	LSM1
YKR048C	12	NAP1
YLL001W	12	DNM1
YLR021W	12	IRC25
YLR131C	12	ACE2
YLR182W	12	SWI6
YNL147W	12	LSM7
YNL201C	12	PSY2
YNL233W	12	BNI4
YNL238W	12	KEX2
YNL315C	12	ATP11
YNL325C	12	FIG4
YOL045W	12	PSK2
YOR008C	12	SLG1
YPL152W	12	RRD2
YPL269W	12	KAR9
YPR075C	12	OPY2
YBR034C	11	HMT1
YBR058C	11	UBP14
YCL008C	11	STP22
YDL091C	11	UBX3
YDL230W	11	PTP1
YDR099W	11	BMH2
YDR181C	11	SAS4
YDR219C	11	MFB1
YDR257C	11	RKM4
YDR422C	11	SIP1
YDR424C	11	DYN2
YDR440W	11	DOT1
YDR490C	11	PKH1
YGL213C	11	SKI8
YHL003C	11	LAG1
YIL047C	11	SYG1
YJL214W	11	HXT8
YJR053W	11	BFA1
YKL201C	11	MNN4
YLL043W	11	FPS1
YMR054W	11	STV1
YMR055C	11	BUB2
YMR127C	11	SAS2
YMR275C	11	BUL1
YNL016W	11	PUB1
YOL011W	11	PLB3
YOR043W	11	WHI2
YOR076C	11	SKI7
YOR213C	11	SAS5
YOR265W	11	RBL2
YOR266W	11	PNT1
YPL001W	11	HAT1
YPR189W	11	SKI3
YBL087C	10	RPL23A
YBR009C	10	HHF1
YBR098W	10	MMS4
YBR181C	10	RPS6B
YCR028C-A	10	RIM1
YCR066W	10	RAD18
YDL061C	10	RPS29B
YDL082W	10	RPL13A
YDL136W	10	RPL35B
YDR083W	10	RRP8
YDR156W	10	RPA14
YDR217C	10	RAD9
YDR225W	10	HTA1
YDR369C	10	XRS2
YDR386W	10	MUS81
YGL078C	10	DBP3
YGL163C	10	RAD54
YHL033C	10	RPL8A
YIL133C	10	RPL16A
YJL092W	10	SRS2
YJL115W	10	ASF1
YJL148W	10	RPA34
YLL002W	10	RTT109
YLR032W	10	RAD5
YML063W	10	RPS1B
YMR179W	10	SPT21
YMR224C	10	MRE11
YMR269W	10	TMA23
YNL031C	10	HHT2
YOL006C	10	TOP1
YOR140W	10	SFL1
YPL239W	10	YAR1
YPR134W	10	MSS18
YPR164W	10	MMS1
YBL011W	9	SCT1
YBR245C	9	ISW1
YCL014W	9	BUD3
YDL213C	9	NOP6
YDL232W	9	OST4
YDR057W	9	YOS9
YDR155C	9	CPR1
YDR161W	9	YDR161W
YDR279W	9	RNH202
YEL060C	9	PRB1
YEL062W	9	NPR2
YER020W	9	GPA2
YER075C	9	PTP3
YFR040W	9	SAP155
YFR048W	9	RMD8
YGL141W	9	HUL5
YHR082C	9	KSP1
YHR156C	9	LIN1
YHR157W	9	REC104
YIL036W	9	CST6
YJL082W	9	IML2
YJR010C-A	9	SPC1
