cluster	query_uniq1	query_ORF1
rRNA processing	NOP7_tsq447	YGR103W
rRNA processing	NOP8_tsq1360	YOL144W
rRNA processing	NOP9_tsq2041	YJL010C
rRNA processing	NOP9_tsq2044	YJL010C
rRNA processing	NUG1_tsq786	YER006W
rRNA processing	PIH1_dma2108	YHR034C
rRNA processing	POP1_tsq2269	YNL221C
rRNA processing	POP3_damp915	YNL282W
rRNA processing	POP3_tsq1428	YNL282W
rRNA processing	POP4_damp245	YBR257W
rRNA processing	POP7_damp230	YBR167C
rRNA processing	POP7_tsa1074	YBR167C
rRNA processing	POP7_tsq1303	YBR167C
rRNA processing	PRP43_tsa607	YGL120C
rRNA processing	PRP43_tsq607	YGL120C
rRNA processing	PUS5_dma3234	YLR165C
rRNA processing	PUS7_dma4650	YOR243C
rRNA processing	PUS7_sn4233	YOR243C
rRNA processing	PWP1_tsa1142	YLR196W
rRNA processing	PWP1_tsq1391	YLR196W
rRNA processing	RAI1_damp1385	YGL246C
rRNA processing	RAT1_tsa914	YOR048C
rRNA processing	RCM1_dma3960	YNL022C
rRNA processing	RCM1_sn3738	YNL022C
rRNA processing	REX2_dma3150	YLR059C
rRNA processing	REX2_sn2059	YLR059C
rRNA processing	REX4_sn4184	YOL080C
rRNA processing	RIO1_damp970	YOR119C
rRNA processing	RIO1_tsq2320	YOR119C
rRNA processing	RIO2_tsq1100	YNL207W
rRNA processing	RIX1_tsq1341	YHR197W
rRNA processing	RLP7_damp869	YNL002C
rRNA processing	RLP7_tsq1366	YNL002C
rRNA processing	RMP1_damp767	YLR145W
rRNA processing	RMP1_tsq1174	YLR145W
rRNA processing	RNH70_dma5301	YGR276C
rRNA processing	RNH70_sn1308	YGR276C
rRNA processing	RNT1_tsa674	YMR239C
rRNA processing	RNT1_tsq674	YMR239C
rRNA processing	RPF1_damp569	YHR088W
rRNA processing	RPF1_tsq1227	YHR088W
rRNA processing	RPF1_tsq1324	YHR088W
rRNA processing	RPF2_tsq1327	YKR081C
rRNA processing	RPL17B_dma5188	YJL177W
rRNA processing	RPL17B_sn3947	YJL177W
rRNA processing	RPL35A_dma785	YDL191W
rRNA processing	RPL35B_dma732	YDL136W
rRNA processing	RPL35B_sn3971	YDL136W
rRNA processing	RPL37A_dma3263	YLR185W
rRNA processing	RPL37A_sn3972	YLR185W
rRNA processing	RPL37B_sn3973	YDR500C
rRNA processing	RPL7B_dma4943	YPL198W
rRNA processing	RPL8A_dma2075	YHL033C
rRNA processing	RPL8A_sn3984	YHL033C
rRNA processing	RPL8B_dma3050	YLL045C
rRNA processing	RPL8B_sn3985	YLL045C
rRNA processing	RPP1_tsq1972	YHR062C
rRNA processing	RPP1_tsq1975	YHR062C
rRNA processing	RPS0A_dma1976	YGR214W
rRNA processing	RPS0A_sn4109	YGR214W
rRNA processing	RPS0B_dma3136	YLR048W
rRNA processing	RPS0B_sn4110	YLR048W
rRNA processing	RPS11A_sn4111	YDR025W
rRNA processing	RPS11B_dma225	YBR048W
rRNA processing	RPS11B_sn4112	YBR048W
rRNA processing	RPS13_tsa1111	YDR064W
rRNA processing	RPS13_tsq1375	YDR064W
rRNA processing	RPS14A_dma559	YCR031C
rRNA processing	RPS14A_sn4134	YCR031C
rRNA processing	RPS16A_dma3722	YMR143W
rRNA processing	RPS16A_sn3991	YMR143W
rRNA processing	RPS16B_dma679	YDL083C
rRNA processing	RPS16B_sn3992	YDL083C
rRNA processing	RPS18A_sn4072	YDR450W
rRNA processing	RPS18B_dma3536	YML026C
rRNA processing	RPS18B_sn3993	YML026C
rRNA processing	RPS1A_dma3482	YLR441C
rRNA processing	RPS1A_sn3996	YLR441C
rRNA processing	RPS1B_sn3997	YML063W
rRNA processing	RPS20_damp551	YHL015W
rRNA processing	RPS21A_dma2980	YKR057W
rRNA processing	RPS21B_dma2527	YJL136C
rRNA processing	RPS23A_dma1882	YGR118W
rRNA processing	RPS23A_sn4114	YGR118W
rRNA processing	RPS24A_dma1373	YER074W
rRNA processing	RPS24A_sn4073	YER074W
rRNA processing	RPS24B_sn4002	YIL069C
rRNA processing	RPS27A_dma2858	YKL156W
rRNA processing	RPS27A_sn3942	YKL156W
rRNA processing	RPS27B_sn4007	YHR021C
rRNA processing	RPS6A_dma4828	YPL090C
rRNA processing	RPS6A_sn4017	YPL090C
rRNA processing	RPS6B_dma327	YBR181C
rRNA processing	RPS6B_sn3943	YBR181C
rRNA processing	RPS8A_dma149	YBL072C
rRNA processing	RPS8A_sn4015	YBL072C
rRNA processing	RPS8B_sn4016	YER102W
rRNA processing	RPS9A_dma4833	YPL081W
rRNA processing	RRP1_tsa181	YDR087C
rRNA processing	RRP1_tsq181	YDR087C
rRNA processing	RRP15_damp1081	YPR143W
rRNA processing	RRP15_tsq2471	YPR143W
rRNA processing	RRP4_tsq1160	YHR069C
rRNA processing	RRP42_tsa1091	YDL111C
rRNA processing	RRP42_tsq1320	YDL111C
rRNA processing	RRP45_tsq1315	YDR280W
rRNA processing	RRP5_tsq1053	YMR229C
rRNA processing	RRP6_sn1677	YOR001W
rRNA processing	RRP7_damp248	YCL031C
rRNA processing	RRP8_dma882	YDR083W
rRNA processing	RRP8_sn4181	YDR083W
rRNA processing	RRP9_tsq2500	YPR137W
rRNA processing	RRS1_tsa687	YOR294W
rRNA processing	RRS1_tsq1149	YOR294W
rRNA processing	RSP5_tsa182	YER125W
rRNA processing	RSP5_tsa464	YER125W
rRNA processing	RSP5_tsa465	YER125W
rRNA processing	RSP5_tsq182	YER125W
rRNA processing	RSP5_tsq464	YER125W
rRNA processing	RSP5_tsq465	YER125W
rRNA processing	RVB2_damp165	YPL235W
rRNA processing	SAS10_tsq1743	YDL153C
rRNA processing	SEN1_tsa1023	YLR430W
rRNA processing	SEN1_tsq1025	YLR430W
rRNA processing	SKI6_tsa1126	YGR195W
rRNA processing	SKI6_tsq1374	YGR195W
rRNA processing	SLX9_dma1857	YGR081C
rRNA processing	SLX9_sn1249	YGR081C
rRNA processing	SNF6_dma2060	YHL025W
rRNA processing	SNF6_sn1763	YHL025W
rRNA processing	SNM1_tsa1184	YDR478W
rRNA processing	SNM1_tsq1447	YDR478W
rRNA processing	SNM1_tsq712	YDR478W
rRNA processing	SNU13_tsq1316	YEL026W
rRNA processing	SNU66_dma4696	YOR308C
rRNA processing	SOF1_tsq1330	YLL011W
rRNA processing	SSB1_dma808	YDL229W
rRNA processing	SSB1_sn3929	YDL229W
rRNA processing	SSB2_sn3928	YNL209W
rRNA processing	SSF1_dma2113	YHR066W
rRNA processing	SSF1_sn4168	YHR066W
rRNA processing	SSZ1_damp1491	YHR064C
rRNA processing	TIF6_tsa1008	YPR016C
rRNA processing	TIF6_tsq1010	YPR016C
rRNA processing	TIF6_tsq1284	YPR016C
rRNA processing	TOM1_sn1962	YDR457W
rRNA processing	TSR1_tsq1737	YDL060W
rRNA processing	TSR1_tsq1738	YDL060W
rRNA processing	TSR3_dma4417	YOR006C
rRNA processing	TSR3_sn3643	YOR006C
rRNA processing	TSR4_tsq1435	YOL022C
rRNA processing	UTP13_tsa1250	YLR222C
rRNA processing	UTP15_tsa1246	YMR093W
rRNA processing	UTP18_tsq2063	YJL069C
rRNA processing	UTP18_tsq2064	YJL069C
rRNA processing	UTP21_tsq2140	YLR409C
rRNA processing	UTP21_tsq2147	YLR409C
rRNA processing	UTP22_damp521	YGR090W
rRNA processing	UTP25_tsq2018	YIL091C
rRNA processing	UTP25_tsq2021	YIL091C
rRNA processing	UTP30_sn3920	YKR060W
rRNA processing	UTP4_tsq1775	YDR324C
rRNA processing	UTP4_tsq1778	YDR324C
rRNA processing	UTP4_tsq1779	YDR324C
rRNA processing	UTP5_tsa1242	YDR398W
rRNA processing	UTP7_tsq1826	YER082C
rRNA processing	UTP7_tsq1827	YER082C
rRNA processing	UTP8_damp531	YGR128C
rRNA processing	UTP9_tsa1135	YHR196W
rRNA processing	UTP9_tsq1378	YHR196W
rRNA processing	XRN1_dma1708	YGL173C
rRNA processing	XRN1_sn1682	YGL173C
rRNA processing	ZUO1_sn1557	YGR285C
ribosomal small subunit biogenesis	BFR2_tsq1421	YDR299W
ribosomal small subunit biogenesis	BUD21_dma4495	YOR078W
ribosomal small subunit biogenesis	BUD21_sn3921	YOR078W
ribosomal small subunit biogenesis	DHR2_damp691	YKL078W
ribosomal small subunit biogenesis	DIM1_damp1056	YPL266W
ribosomal small subunit biogenesis	DIM1_tsa984	YPL266W
ribosomal small subunit biogenesis	DIM1_tsq986	YPL266W
ribosomal small subunit biogenesis	DIP2_tsq1346	YLR129W
ribosomal small subunit biogenesis	EMG1_damp772	YLR186W
ribosomal small subunit biogenesis	EMG1_tsa1056	YLR186W
ribosomal small subunit biogenesis	EMG1_tsa1141	YLR186W
ribosomal small subunit biogenesis	EMG1_tsq1058	YLR186W
ribosomal small subunit biogenesis	EMG1_tsq1384	YLR186W
ribosomal small subunit biogenesis	ENP2_tsq1947	YGR145W
ribosomal small subunit biogenesis	ESF2_tsq2285	YNR054C
ribosomal small subunit biogenesis	ESF2_tsq2286	YNR054C
ribosomal small subunit biogenesis	FAF1_tsq1993	YIL019W
ribosomal small subunit biogenesis	FAL1_damp317	YDR021W
ribosomal small subunit biogenesis	FAL1_tsa728	YDR021W
ribosomal small subunit biogenesis	FAL1_tsq1162	YDR021W
ribosomal small subunit biogenesis	FCF1_tsq1418	YDR339C
ribosomal small subunit biogenesis	FCF2_damp747	YLR051C
ribosomal small subunit biogenesis	FYV7_sn3919	YLR068W
ribosomal small subunit biogenesis	GEP3_sn2522	YOR205C
ribosomal small subunit biogenesis	HAS1_tsq1380	YMR290C
ribosomal small subunit biogenesis	HCR1_dma3257	YLR192C
ribosomal small subunit biogenesis	HCR1_sn4139	YLR192C
ribosomal small subunit biogenesis	HRR25_damp1043	YPL204W
ribosomal small subunit biogenesis	HRR25_tsa1196	YPL204W
ribosomal small subunit biogenesis	KRE33_tsa1262	YNL132W
ribosomal small subunit biogenesis	KRR1_tsa326	YCL059C
ribosomal small subunit biogenesis	KRR1_tsq1104	YCL059C
ribosomal small subunit biogenesis	KRR1_tsq326	YCL059C
ribosomal small subunit biogenesis	LCP5_tsq1834	YER127W
ribosomal small subunit biogenesis	LCP5_tsq1836	YER127W
ribosomal small subunit biogenesis	LSM6_dma1114	YDR378C
ribosomal small subunit biogenesis	LSM6_sn1903	YDR378C
ribosomal small subunit biogenesis	LSM7_dma5339	YNL147W
ribosomal small subunit biogenesis	LSM7_sn1904	YNL147W
ribosomal small subunit biogenesis	NEW1_dma4968	YPL226W
ribosomal small subunit biogenesis	NEW1_sn2164	YPL226W
ribosomal small subunit biogenesis	NOB1_damp146	YOR056C
ribosomal small subunit biogenesis	NOC4_damp1082	YPR144C
ribosomal small subunit biogenesis	NOP14_tsa1234	YDL148C
ribosomal small subunit biogenesis	NOP58_damp1007	YOR310C
ribosomal small subunit biogenesis	NOP6_dma796	YDL213C
ribosomal small subunit biogenesis	NOP6_sn4187	YDL213C
ribosomal small subunit biogenesis	NOP7_tsa447	YGR103W
ribosomal small subunit biogenesis	NOP7_tsq447	YGR103W
ribosomal small subunit biogenesis	NOP9_tsq2041	YJL010C
ribosomal small subunit biogenesis	NOP9_tsq2044	YJL010C
ribosomal small subunit biogenesis	PRP43_tsa607	YGL120C
ribosomal small subunit biogenesis	PRP43_tsq607	YGL120C
ribosomal small subunit biogenesis	RIO1_damp970	YOR119C
ribosomal small subunit biogenesis	RIO1_tsq2320	YOR119C
ribosomal small subunit biogenesis	RIO2_tsq1100	YNL207W
ribosomal small subunit biogenesis	RPS0A_dma1976	YGR214W
ribosomal small subunit biogenesis	RPS0A_sn4109	YGR214W
ribosomal small subunit biogenesis	RPS0B_dma3136	YLR048W
ribosomal small subunit biogenesis	RPS0B_sn4110	YLR048W
ribosomal small subunit biogenesis	RPS11A_sn4111	YDR025W
ribosomal small subunit biogenesis	RPS11B_dma225	YBR048W
ribosomal small subunit biogenesis	RPS11B_sn4112	YBR048W
ribosomal small subunit biogenesis	RPS13_tsa1111	YDR064W
ribosomal small subunit biogenesis	RPS13_tsq1375	YDR064W
ribosomal small subunit biogenesis	RPS14A_dma559	YCR031C
ribosomal small subunit biogenesis	RPS14A_sn4134	YCR031C
ribosomal small subunit biogenesis	RPS16A_dma3722	YMR143W
ribosomal small subunit biogenesis	RPS16A_sn3991	YMR143W
ribosomal small subunit biogenesis	RPS16B_dma679	YDL083C
ribosomal small subunit biogenesis	RPS16B_sn3992	YDL083C
ribosomal small subunit biogenesis	RPS17A_sn4116	YML024W
ribosomal small subunit biogenesis	RPS17B_dma1183	YDR447C
ribosomal small subunit biogenesis	RPS17B_sn4113	YDR447C
ribosomal small subunit biogenesis	RPS18A_sn4072	YDR450W
ribosomal small subunit biogenesis	RPS18B_dma3536	YML026C
ribosomal small subunit biogenesis	RPS18B_sn3993	YML026C
ribosomal small subunit biogenesis	RPS19A_sn3994	YOL121C
ribosomal small subunit biogenesis	RPS19B_sn3995	YNL302C
ribosomal small subunit biogenesis	RPS1A_dma3482	YLR441C
ribosomal small subunit biogenesis	RPS1A_sn3996	YLR441C
ribosomal small subunit biogenesis	RPS1B_sn3997	YML063W
ribosomal small subunit biogenesis	RPS20_damp551	YHL015W
ribosomal small subunit biogenesis	RPS21A_dma2980	YKR057W
ribosomal small subunit biogenesis	RPS21B_dma2527	YJL136C
ribosomal small subunit biogenesis	RPS23A_dma1882	YGR118W
ribosomal small subunit biogenesis	RPS23A_sn4114	YGR118W
ribosomal small subunit biogenesis	RPS24A_dma1373	YER074W
ribosomal small subunit biogenesis	RPS24A_sn4073	YER074W
ribosomal small subunit biogenesis	RPS24B_sn4002	YIL069C
ribosomal small subunit biogenesis	RPS27A_dma2858	YKL156W
ribosomal small subunit biogenesis	RPS27A_sn3942	YKL156W
ribosomal small subunit biogenesis	RPS27B_sn4007	YHR021C
ribosomal small subunit biogenesis	RPS6A_dma4828	YPL090C
ribosomal small subunit biogenesis	RPS6A_sn4017	YPL090C
ribosomal small subunit biogenesis	RPS6B_dma327	YBR181C
ribosomal small subunit biogenesis	RPS6B_sn3943	YBR181C
ribosomal small subunit biogenesis	RPS8A_dma149	YBL072C
ribosomal small subunit biogenesis	RPS8A_sn4015	YBL072C
ribosomal small subunit biogenesis	RPS8B_sn4016	YER102W
ribosomal small subunit biogenesis	RPS9A_dma4833	YPL081W
ribosomal small subunit biogenesis	RRP14_tsq2072	YKL082C
ribosomal small subunit biogenesis	RRP14_tsq2079	YKL082C
ribosomal small subunit biogenesis	RRP5_tsq1053	YMR229C
ribosomal small subunit biogenesis	RRP7_damp248	YCL031C
ribosomal small subunit biogenesis	RRS1_tsa687	YOR294W
ribosomal small subunit biogenesis	RRS1_tsq1149	YOR294W
ribosomal small subunit biogenesis	SAC3_dma960	YDR159W
ribosomal small subunit biogenesis	SAC3_sn1854	YDR159W
ribosomal small subunit biogenesis	SAS10_tsq1743	YDL153C
ribosomal small subunit biogenesis	SGD1_damp797	YLR336C
ribosomal small subunit biogenesis	SLX9_dma1857	YGR081C
ribosomal small subunit biogenesis	SLX9_sn1249	YGR081C
ribosomal small subunit biogenesis	SNU13_tsq1316	YEL026W
ribosomal small subunit biogenesis	SOF1_tsq1330	YLL011W
ribosomal small subunit biogenesis	TMA23_dma3866	YMR269W
ribosomal small subunit biogenesis	TMA23_sn3721	YMR269W
ribosomal small subunit biogenesis	TOM1_sn1962	YDR457W
ribosomal small subunit biogenesis	TSR1_tsq1737	YDL060W
ribosomal small subunit biogenesis	TSR1_tsq1738	YDL060W
ribosomal small subunit biogenesis	TSR3_dma4417	YOR006C
ribosomal small subunit biogenesis	TSR3_sn3643	YOR006C
ribosomal small subunit biogenesis	TSR4_tsq1435	YOL022C
ribosomal small subunit biogenesis	UTP13_tsa1250	YLR222C
ribosomal small subunit biogenesis	UTP15_tsa1246	YMR093W
ribosomal small subunit biogenesis	UTP18_tsq2063	YJL069C
ribosomal small subunit biogenesis	UTP18_tsq2064	YJL069C
ribosomal small subunit biogenesis	UTP21_tsq2140	YLR409C
ribosomal small subunit biogenesis	UTP21_tsq2147	YLR409C
ribosomal small subunit biogenesis	UTP22_damp521	YGR090W
ribosomal small subunit biogenesis	UTP25_tsq2018	YIL091C
ribosomal small subunit biogenesis	UTP25_tsq2021	YIL091C
ribosomal small subunit biogenesis	UTP30_sn3920	YKR060W
ribosomal small subunit biogenesis	UTP4_tsq1775	YDR324C
ribosomal small subunit biogenesis	UTP4_tsq1778	YDR324C
ribosomal small subunit biogenesis	UTP4_tsq1779	YDR324C
ribosomal small subunit biogenesis	UTP5_tsa1242	YDR398W
ribosomal small subunit biogenesis	UTP7_tsq1826	YER082C
ribosomal small subunit biogenesis	UTP7_tsq1827	YER082C
ribosomal small subunit biogenesis	UTP8_damp531	YGR128C
ribosomal small subunit biogenesis	UTP9_tsa1135	YHR196W
ribosomal small subunit biogenesis	UTP9_tsq1378	YHR196W
ribosomal small subunit biogenesis	YAR1_dma4962	YPL239W
ribosomal small subunit biogenesis	YAR1_sn1119	YPL239W
transcription from RNA polymerase II promoter	ABF1_tsa319	YKL112W
transcription from RNA polymerase II promoter	ACA1_sn2105	YER045C
transcription from RNA polymerase II promoter	ACE2_dma3228	YLR131C
transcription from RNA polymerase II promoter	ACE2_sn1346	YLR131C
transcription from RNA polymerase II promoter	ADA2_sn1816	YDR448W
transcription from RNA polymerase II promoter	ADR1_dma973	YDR216W
transcription from RNA polymerase II promoter	ADR1_sn2119	YDR216W
transcription from RNA polymerase II promoter	AFT1_sn1939	YGL071W
transcription from RNA polymerase II promoter	AFT2_sn2116	YPL202C
transcription from RNA polymerase II promoter	ARG80_dma3650	YMR042W
transcription from RNA polymerase II promoter	ARO80_sn1931	YDR421W
transcription from RNA polymerase II promoter	ARP4_tsa618	YJL081C
transcription from RNA polymerase II promoter	ARP9_tsq495	YMR033W
transcription from RNA polymerase II promoter	ASF1_dma2518	YJL115W
transcription from RNA polymerase II promoter	ASH1_dma2882	YKL185W
transcription from RNA polymerase II promoter	ASH1_sn1574	YKL185W
transcription from RNA polymerase II promoter	AZF1_dma4548	YOR113W
transcription from RNA polymerase II promoter	AZF1_sn1607	YOR113W
transcription from RNA polymerase II promoter	BAS1_dma3018	YKR099W
transcription from RNA polymerase II promoter	BMH1_dma1476	YER177W
transcription from RNA polymerase II promoter	BMH1_sn1076	YER177W
transcription from RNA polymerase II promoter	BRE1_dma651	YDL074C
transcription from RNA polymerase II promoter	BRE1_sn1801	YDL074C
transcription from RNA polymerase II promoter	BUD32_sn940	YGR262C
transcription from RNA polymerase II promoter	BYE1_sn1880	YKL005C
transcription from RNA polymerase II promoter	CAD1_sn1928	YDR423C
transcription from RNA polymerase II promoter	CAF130_dma1893	YGR134W
transcription from RNA polymerase II promoter	CAF130_sn1980	YGR134W
transcription from RNA polymerase II promoter	CAF16_dma1497	YFL028C
transcription from RNA polymerase II promoter	CAF16_sn2022	YFL028C
transcription from RNA polymerase II promoter	CAF4_sn2024	YKR036C
transcription from RNA polymerase II promoter	CAF40_sn1981	YNL288W
transcription from RNA polymerase II promoter	CAM1_dma4810	YPL048W
transcription from RNA polymerase II promoter	CAM1_sn4161	YPL048W
transcription from RNA polymerase II promoter	CAT8_dma3880	YMR280C
transcription from RNA polymerase II promoter	CAT8_sn1932	YMR280C
transcription from RNA polymerase II promoter	CBF1_dma2646	YJR060W
transcription from RNA polymerase II promoter	CBF1_sn154	YJR060W
transcription from RNA polymerase II promoter	CCL1_tsq1071	YPR025C
transcription from RNA polymerase II promoter	CCR4_sn1991	YAL021C
transcription from RNA polymerase II promoter	CDC28_tsa150	YBR160W
transcription from RNA polymerase II promoter	CDC28_tsa174	YBR160W
transcription from RNA polymerase II promoter	CDC28_tsa175	YBR160W
transcription from RNA polymerase II promoter	CDC28_tsa62	YBR160W
transcription from RNA polymerase II promoter	CDC28_tsq150	YBR160W
transcription from RNA polymerase II promoter	CDC28_tsq65	YBR160W
transcription from RNA polymerase II promoter	CDC36_tsa314	YDL165W
transcription from RNA polymerase II promoter	CDC36_tsq314	YDL165W
transcription from RNA polymerase II promoter	CDC39_tsq96	YCR093W
transcription from RNA polymerase II promoter	CDC73_dma3477	YLR418C
transcription from RNA polymerase II promoter	CDC73_sn2051	YLR418C
transcription from RNA polymerase II promoter	CEG1_tsa355	YGL130W
transcription from RNA polymerase II promoter	CEG1_tsa94	YGL130W
transcription from RNA polymerase II promoter	CEG1_tsq1073	YGL130W
transcription from RNA polymerase II promoter	CEG1_tsq1079	YGL130W
transcription from RNA polymerase II promoter	CEG1_tsq355	YGL130W
transcription from RNA polymerase II promoter	CEG1_tsq358	YGL130W
transcription from RNA polymerase II promoter	CET1_tsa270	YPL228W
transcription from RNA polymerase II promoter	CET1_tsq1115	YPL228W
transcription from RNA polymerase II promoter	CET1_tsq420	YPL228W
transcription from RNA polymerase II promoter	CFT1_tsq1771	YDR301W
transcription from RNA polymerase II promoter	CGI121_sn3317	YML036W
transcription from RNA polymerase II promoter	CHD1_dma1461	YER164W
transcription from RNA polymerase II promoter	CHD1_sn1773	YER164W
transcription from RNA polymerase II promoter	CIN5_sn1999	YOR028C
transcription from RNA polymerase II promoter	CKS1_tsa332	YBR135W
transcription from RNA polymerase II promoter	CKS1_tsa923	YBR135W
transcription from RNA polymerase II promoter	CKS1_tsq1105	YBR135W
transcription from RNA polymerase II promoter	CRT10_sn3068	YOL063C
transcription from RNA polymerase II promoter	CRZ1_dma3957	YNL027W
transcription from RNA polymerase II promoter	CRZ1_sn2031	YNL027W
transcription from RNA polymerase II promoter	CSE2_sn2101	YNR010W
transcription from RNA polymerase II promoter	CSR2_dma5050	YPR030W
transcription from RNA polymerase II promoter	CSR2_sn1184	YPR030W
transcription from RNA polymerase II promoter	CST6_dma2279	YIL036W
transcription from RNA polymerase II promoter	CST6_sn2110	YIL036W
transcription from RNA polymerase II promoter	CTK1_damp3358	YKL139W
transcription from RNA polymerase II promoter	CTR9_sn2098	YOL145C
transcription from RNA polymerase II promoter	CUP2_dma1712	YGL166W
transcription from RNA polymerase II promoter	CUP2_sn2109	YGL166W
transcription from RNA polymerase II promoter	CUP9_dma4916	YPL177C
transcription from RNA polymerase II promoter	CUP9_sn2111	YPL177C
transcription from RNA polymerase II promoter	DAL80_sn2121	YKR034W
transcription from RNA polymerase II promoter	DAL81_dma2435	YIR023W
transcription from RNA polymerase II promoter	DAL81_sn2013	YIR023W
